Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
BETA CAS,  ,         2443743.7,  -9.84E-014,  1.31E-013,  2.10E-012,  -5.03E-013,  1.66E-013,  3.59E-012,  2.07E-012,  3.13E-013,  3.87E-012,  2.66E-012,  5.41E-013,  7.89E-012
BETA CAS,  ,         2443743.8,  -2.46E-013,  2.02E-013,  2.81E-012,  -2.77E-013,  1.79E-013,  3.34E-012,  2.63E-012,  3.35E-013,  3.54E-012,  3.32E-012,  6.28E-013,  8.80E-012
HD 432  ,  ,         2444509.0,  3.43E-013,  1.82E-013,  2.04E-012,  -5.02E-013,  1.63E-013,  3.42E-012,  2.42E-012,  3.26E-013,  3.75E-012,  3.12E-012,  5.53E-013,  7.65E-012
HD 432  ,  ,         2445971.8,  -3.95E-013,  2.76E-013,  2.47E-012,  8.88E-013,  2.39E-013,  3.14E-012,  2.39E-012,  3.66E-013,  4.19E-012,  2.87E-012,  6.03E-013,  8.55E-012
HD 432  ,  ,         2445971.8,  -8.43E-014,  3.02E-013,  9.93E-013,  3.77E-014,  2.71E-013,  3.49E-012,  9.71E-013,  3.83E-013,  4.66E-012,  3.16E-012,  5.82E-013,  6.81E-012
HD 432  ,  ,         2445971.9,  -4.69E-013,  2.95E-013,  1.86E-012,  2.74E-013,  2.31E-013,  2.74E-012,  1.30E-012,  3.59E-013,  4.07E-012,  4.44E-012,  5.99E-013,  5.86E-012
HD 432  ,  ,         2445971.9,  5.77E-013,  3.60E-013,  1.30E-012,  2.75E-014,  2.65E-013,  3.36E-012,  2.24E-012,  3.47E-013,  2.69E-012,  -1.01E-013,  4.30E-013,  6.95E-012
HD 432  ,  ,         2445971.9,  -1.35E-012,  4.73E-013,  2.82E-012,  4.72E-013,  3.78E-013,  4.12E-012,  3.57E-012,  4.62E-013,  3.05E-012,  -2.75E-012,  5.05E-013,  1.04E-011
HD 432  ,  ,         2445971.9,  8.41E-014,  7.98E-013,  2.65E-012,  -3.57E-012,  5.21E-013,  8.77E-012,  -2.97E-012,  3.02E-013,  4.27E-012,  -7.20E-012,  3.41E-013,  9.84E-012
HD 432  ,  ,         2445972.0,  -4.94E-012,  1.12E-012,  4.37E-012,  -3.27E-012,  6.00E-013,  7.33E-012,  1.90E-012,  4.25E-013,  -1.60E-012,  -1.19E-011,  7.87E-014,  6.26E-012
HD 432  ,  ,         2446469.6,  2.16E-013,  2.41E-013,  1.61E-012,  -1.16E-012,  1.81E-013,  3.73E-012,  1.33E-012,  3.18E-013,  3.98E-012,  4.19E-013,  4.83E-013,  8.34E-012
HD 432  ,  ,         2447027.1,  9.79E-013,  3.44E-013,  1.23E-012,  -1.80E-013,  2.01E-013,  2.77E-012,  1.01E-012,  3.61E-013,  4.15E-012,  1.12E-012,  5.53E-013,  8.00E-012
HD 432  ,  ,         2447071.7,  3.71E-013,  2.76E-013,  1.96E-012,  4.82E-013,  2.20E-013,  2.83E-012,  2.73E-012,  3.47E-013,  2.97E-012,  2.11E-012,  5.14E-013,  6.97E-012
HD 432  ,  ,         2447071.8,  -1.19E-012,  2.42E-013,  2.85E-012,  -3.93E-014,  1.88E-013,  2.77E-012,  1.72E-012,  3.09E-013,  3.27E-012,  1.38E-012,  4.91E-013,  7.31E-012
HD 432  ,  ,         2447071.8,  -7.60E-013,  2.49E-013,  2.31E-012,  -5.95E-013,  2.01E-013,  3.57E-012,  1.48E-012,  3.17E-013,  3.52E-012,  1.59E-012,  5.12E-013,  7.47E-012
HD 432  ,  ,         2447071.8,  -1.68E-013,  2.14E-013,  2.32E-012,  -4.06E-013,  1.73E-013,  3.21E-012,  1.79E-012,  3.07E-013,  3.71E-012,  2.91E-012,  5.21E-013,  6.96E-012
HD 432  ,  ,         2447072.8,  1.13E-013,  2.95E-013,  1.89E-012,  -1.18E-012,  1.50E-013,  2.93E-012,  1.14E-012,  3.02E-013,  3.57E-012,  2.65E-012,  4.65E-013,  5.48E-012
HD 432  ,  ,         2447072.8,  2.05E-013,  3.06E-013,  2.28E-012,  8.45E-016,  1.78E-013,  2.39E-012,  1.39E-012,  2.60E-013,  2.60E-012,  4.13E-012,  5.37E-013,  5.41E-012
HD 432  ,  ,         2447072.9,  -6.49E-014,  3.58E-013,  3.09E-012,  -1.24E-013,  2.11E-013,  3.12E-012,  1.43E-012,  3.05E-013,  3.24E-012,  9.39E-013,  5.04E-013,  7.81E-012
HD 432  ,  ,         2447072.9,  -8.13E-013,  2.86E-013,  2.77E-012,  -1.19E-012,  1.82E-013,  3.58E-012,  6.07E-013,  2.67E-013,  3.45E-012,  1.86E-012,  4.98E-013,  6.92E-012
HD 432  ,  ,         2447072.9,  -1.33E-012,  2.85E-013,  3.30E-012,  -1.45E-012,  2.22E-013,  4.59E-012,  2.56E-012,  3.43E-013,  2.90E-012,  1.79E-012,  4.92E-013,  6.72E-012
HD 432  ,  ,         2447072.9,  -1.54E-012,  2.86E-013,  3.08E-012,  -2.52E-012,  1.48E-013,  4.07E-012,  1.65E-012,  3.36E-013,  3.60E-012,  -3.40E-013,  5.18E-013,  9.14E-012
HD 432  ,  ,         2447073.0,  -7.72E-013,  3.06E-013,  3.16E-012,  -1.32E-012,  1.86E-013,  3.72E-012,  1.68E-012,  3.08E-013,  3.10E-012,  1.32E-012,  4.45E-013,  6.25E-012
HD 432  ,  ,         2447073.0,  7.49E-013,  3.17E-013,  1.98E-012,  -5.09E-013,  1.90E-013,  3.05E-012,  2.18E-012,  3.22E-013,  2.93E-012,  2.37E-012,  5.35E-013,  6.94E-012
HD 432  ,  ,         2447073.7,  8.19E-013,  2.66E-013,  1.12E-012,  1.84E-013,  2.28E-013,  3.33E-012,  4.02E-013,  3.06E-013,  4.49E-012,  2.54E-012,  5.18E-013,  6.78E-012
HD 432  ,  ,         2447073.8,  1.27E-012,  2.42E-013,  4.74E-013,  -7.85E-013,  1.62E-013,  2.97E-012,  1.24E-012,  3.03E-013,  3.69E-012,  2.12E-012,  4.19E-013,  5.32E-012
HD 432  ,  ,         2447073.8,  3.47E-013,  2.72E-013,  1.96E-012,  -1.90E-012,  1.50E-013,  3.84E-012,  1.66E-012,  3.03E-013,  3.20E-012,  2.13E-012,  5.07E-013,  6.97E-012
HD 432  ,  ,         2447073.8,  9.21E-014,  2.90E-013,  2.32E-012,  8.06E-013,  2.20E-013,  2.52E-012,  2.22E-012,  3.31E-013,  3.16E-012,  1.65E-012,  4.81E-013,  6.90E-012
