Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
EPSILON AURIGAE,  ,         2443732.2,  2.24E-012,  1.48E-012,  7.13E-012,  -7.68E-013,  2.16E-013,  -1.22E-012,  -2.08E-012,  2.22E-013,  1.19E-012,  4.96E-012,  4.99E-013,  3.35E-013
HD 31964,  ,         2443733.6,  2.19E-013,  6.89E-014,  -4.98E-014,  -1.70E-013,  5.59E-014,  8.36E-013,  5.86E-013,  9.54E-014,  9.92E-013,  1.51E-013,  1.39E-013,  2.36E-012
HD 31964,  ,         2444179.3,  -1.66E-013,  3.08E-014,  4.16E-013,  -3.48E-013,  5.88E-014,  1.37E-012,  2.20E-013,  8.18E-014,  1.28E-012,  2.12E-013,  1.77E-013,  3.20E-012
HD 31964,  ,         2445041.3,  3.10E-012,  7.68E-013,  -1.73E-012,  1.87E-012,  4.35E-013,  2.72E-012,  3.71E-012,  4.21E-013,  1.50E-012,  3.37E-012,  5.65E-013,  5.25E-012
EPS AUR ,  ,         2445079.4,  -1.91E-013,  9.77E-014,  7.46E-013,  -4.35E-013,  4.99E-014,  9.94E-013,  6.67E-013,  1.07E-013,  1.10E-012,  -3.22E-013,  1.68E-013,  3.31E-012
EPS AUR ,  ,         2445080.1,  -8.82E-014,  3.30E-014,  3.44E-013,  -2.44E-013,  5.08E-014,  1.11E-012,  8.89E-014,  6.96E-014,  1.18E-012,  4.17E-013,  1.59E-013,  2.65E-012
HR 1605 ,  ,         2445085.4,  -3.63E-013,  7.69E-014,  6.26E-013,  -2.70E-013,  4.93E-014,  8.63E-013,  5.08E-013,  1.08E-013,  1.31E-012,  7.78E-013,  2.16E-013,  3.23E-012
HR 1605 ,  ,         2445085.5,  -2.91E-013,  2.85E-014,  4.86E-013,  -3.70E-013,  4.93E-014,  1.24E-012,  3.82E-013,  8.89E-014,  1.27E-012,  4.48E-013,  1.75E-013,  2.95E-012
EPS AUR ,  ,         2445175.0,  4.32E-014,  9.27E-014,  4.11E-013,  -3.58E-013,  3.29E-014,  5.42E-013,  9.95E-013,  9.06E-014,  4.13E-013,  6.12E-013,  1.44E-013,  1.93E-012
EPS AUR ,  ,         2445196.1,  2.93E-013,  2.27E-013,  4.76E-013,  -8.21E-013,  4.40E-014,  2.78E-013,  6.14E-013,  1.36E-013,  7.96E-013,  -1.68E-012,  5.46E-014,  1.65E-012
EPS AUR ,  ,         2445196.2,  9.91E-013,  2.61E-013,  -1.80E-014,  -6.89E-013,  1.19E-013,  1.78E-012,  8.48E-013,  1.15E-013,  5.02E-013,  1.57E-013,  2.15E-013,  3.31E-012
EPS AUR ,  ,         2445206.0,  -3.66E-014,  2.17E-013,  6.23E-013,  -1.01E-012,  8.52E-014,  1.46E-012,  6.52E-014,  8.52E-014,  7.30E-013,  1.00E-012,  2.23E-013,  2.73E-012
