Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 175813,  ,         2444157.9,  4.44E-013,  1.03E-013,  2.52E-013,  1.82E-013,  5.04E-014,  3.48E-013,  8.26E-013,  1.07E-013,  7.64E-013,  1.75E-014,  7.03E-014,  9.44E-013
HD 175813,  ,         2444157.9,  -1.83E-013,  2.05E-013,  7.36E-013,  -4.11E-013,  4.47E-014,  1.75E-013,  3.83E-013,  1.28E-013,  1.16E-012,  4.13E-013,  1.46E-013,  1.61E-012
HD 175813,  ,         2444157.9,  5.06E-013,  1.34E-013,  7.25E-013,  4.61E-013,  6.90E-014,  4.20E-013,  9.77E-013,  1.24E-013,  8.90E-013,  4.55E-013,  1.50E-013,  2.05E-012
HD 175813,  ,         2444416.8,  5.08E-013,  6.93E-014,  5.08E-013,  4.55E-013,  5.25E-014,  5.31E-013,  1.27E-012,  1.04E-013,  7.14E-013,  1.71E-012,  1.56E-013,  1.34E-012
HD 175813,  ,         2444416.8,  7.57E-013,  7.75E-014,  3.75E-013,  4.19E-013,  5.38E-014,  5.82E-013,  1.40E-012,  1.04E-013,  5.94E-013,  1.42E-012,  1.36E-013,  1.23E-012
HD 175813,  ,         2444416.9,  7.70E-013,  6.97E-014,  3.32E-013,  3.22E-013,  4.44E-014,  4.93E-013,  9.17E-013,  8.08E-014,  6.24E-013,  1.13E-012,  1.09E-013,  9.93E-013
HD 175813,  ,         2444417.0,  5.99E-013,  7.10E-014,  4.04E-013,  4.11E-013,  4.57E-014,  4.25E-013,  9.17E-013,  8.07E-014,  6.16E-013,  1.31E-012,  1.20E-013,  1.03E-012
HD 175813,  ,         2444417.0,  7.62E-013,  1.01E-013,  5.74E-013,  4.13E-013,  5.15E-014,  5.15E-013,  1.06E-012,  9.89E-014,  7.86E-013,  1.82E-012,  1.56E-013,  1.19E-012
HD 175813,  ,         2444417.1,  1.00E-012,  1.81E-013,  8.00E-013,  5.47E-013,  6.10E-014,  3.72E-013,  1.35E-012,  1.26E-013,  6.09E-013,  9.62E-013,  1.59E-013,  1.82E-012
HD 175813,  ,         2444417.2,  1.47E-012,  2.07E-013,  7.62E-013,  4.79E-013,  5.83E-014,  3.99E-013,  9.76E-013,  1.01E-013,  5.48E-013,  1.80E-012,  1.56E-013,  9.82E-013
HD 175813,  ,         2444417.2,  1.33E-012,  1.79E-013,  6.38E-013,  1.51E-013,  3.80E-014,  3.42E-013,  8.21E-013,  8.44E-014,  4.25E-013,  9.13E-013,  1.25E-013,  1.27E-012
HD 175813,  ,         2444417.3,  7.35E-013,  8.80E-014,  5.27E-013,  5.02E-013,  5.37E-014,  4.80E-013,  1.08E-012,  9.04E-014,  6.22E-013,  1.25E-012,  1.32E-013,  1.30E-012
HD 175813,  ,         2444417.3,  8.65E-013,  8.94E-014,  4.97E-013,  4.73E-013,  5.85E-014,  6.12E-013,  1.39E-012,  1.12E-013,  7.26E-013,  1.36E-012,  1.40E-013,  1.34E-012
HD 175813,  ,         2445056.0,  5.46E-013,  5.77E-014,  2.92E-013,  3.88E-013,  4.91E-014,  5.22E-013,  9.80E-013,  7.91E-014,  5.28E-013,  1.18E-012,  1.15E-013,  1.05E-012
HD 175813,  ,         2445057.2,  1.21E-012,  2.87E-013,  3.72E-014,  -1.77E-014,  9.88E-014,  7.44E-013,  1.31E-012,  1.43E-013,  7.07E-013,  2.46E-012,  1.67E-013,  2.12E-013
HD 175813,  ,         2445057.2,  4.66E-013,  5.16E-014,  2.87E-013,  3.19E-013,  4.26E-014,  4.63E-013,  1.04E-012,  8.28E-014,  5.30E-013,  1.26E-012,  1.17E-013,  1.01E-012
