Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD128620,  ALP-CEN-A,         55220.219,  1.60E-012,  9.97E-014,  1.31E-013,  4.56E-013,  3.37E-014,  1.95E-013,  3.05E-012,  1.60E-013,  9.40E-014,  1.64E-012,  1.14E-013,  6.22E-013
HD128620,  ALP-CEN-A,         55601.120,  1.70E-012,  1.02E-013,  1.37E-013,  4.67E-013,  3.39E-014,  1.92E-013,  3.12E-012,  1.63E-013,  9.49E-014,  1.70E-012,  1.17E-013,  6.16E-013
HD128620,  ALP-CEN-A,         55711.999,  1.59E-012,  9.67E-014,  1.34E-013,  4.54E-013,  3.31E-014,  1.89E-013,  2.99E-012,  1.57E-013,  9.41E-014,  1.59E-012,  1.11E-013,  6.18E-013
HD128620,  ALP-CEN-A,         55987.072,  1.64E-012,  9.91E-014,  1.27E-013,  4.71E-013,  3.42E-014,  1.92E-013,  3.04E-012,  1.60E-013,  9.49E-014,  1.64E-012,  1.15E-013,  6.35E-013
HD128620,  ALP-CEN-A,         56206.708,  1.71E-012,  1.04E-013,  1.52E-013,  4.83E-013,  3.48E-014,  1.92E-013,  3.16E-012,  1.66E-013,  9.38E-014,  1.75E-012,  1.20E-013,  6.40E-013
HD128620,  ALP-CEN-A,         56373.129,  1.74E-012,  1.05E-013,  1.35E-013,  4.76E-013,  3.50E-014,  2.02E-013,  3.15E-012,  1.65E-013,  9.96E-014,  1.73E-012,  1.20E-013,  6.52E-013
HD128620,  ALP-CEN-A,         56536.680,  1.84E-012,  1.11E-013,  1.60E-013,  4.86E-013,  3.49E-014,  1.91E-013,  3.24E-012,  1.70E-013,  9.65E-014,  1.82E-012,  1.24E-013,  6.42E-013
HD128620,  ALP-CEN-A,         56700.452,  1.61E-012,  1.00E-013,  1.35E-013,  4.55E-013,  3.31E-014,  1.85E-013,  2.99E-012,  1.57E-013,  9.17E-014,  1.66E-012,  1.14E-013,  6.04E-013
HD128620,  ALP-CEN-A,         56862.860,  2.08E-012,  1.23E-013,  1.53E-013,  5.06E-013,  3.67E-014,  2.06E-013,  3.41E-012,  1.78E-013,  9.90E-014,  1.92E-012,  1.30E-013,  6.67E-013
HD128620,  ALP-CEN-A,         57029.233,  1.72E-012,  1.13E-013,  1.48E-013,  4.89E-013,  3.63E-014,  2.02E-013,  3.18E-012,  1.69E-013,  9.91E-014,  1.78E-012,  1.22E-013,  6.35E-013
HD128620,  ALP-CEN-A,         57246.795,  2.13E-012,  1.35E-013,  1.20E-013,  5.63E-013,  3.98E-014,  1.96E-013,  3.62E-012,  1.91E-013,  9.37E-014,  2.11E-012,  1.40E-013,  6.65E-013
HD128620,  ALP-CEN-A,         57411.259,  1.82E-012,  1.20E-013,  1.51E-013,  4.88E-013,  3.54E-014,  1.83E-013,  3.26E-012,  1.73E-013,  9.02E-014,  1.78E-012,  1.23E-013,  6.51E-013
HD128620-NEW,  ALP-CEN-A,         57678.935,  1.89E-012,  1.21E-013,  1.54E-013,  5.20E-013,  3.77E-014,  1.97E-013,  3.26E-012,  1.73E-013,  1.06E-013,  1.82E-012,  1.25E-013,  6.60E-013
HD128620,  ALP-CEN-A,         57792.233,  2.33E-012,  1.48E-013,  1.61E-013,  5.90E-013,  4.24E-014,  2.19E-013,  3.83E-012,  2.02E-013,  1.03E-013,  2.25E-012,  1.49E-013,  7.01E-013
HD128620,  ALP-CEN-A,         58011.661,  1.89E-012,  1.22E-013,  1.37E-013,  4.91E-013,  3.57E-014,  1.86E-013,  3.28E-012,  1.74E-013,  9.53E-014,  1.82E-012,  1.24E-013,  6.36E-013
