Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD-209458                      ,  ,         55106.606,  2.12E-015,  2.57E-016,  1.41E-016,  3.49E-016,  8.69E-017,  2.95E-016,  1.79E-015,  2.04E-016,  2.19E-016,  2.14E-015,  2.23E-016,  1.23E-015
HD-209458                      ,  ,         55106.620,  1.85E-015,  2.37E-016,  1.44E-016,  2.49E-016,  8.38E-017,  3.73E-016,  2.25E-015,  2.29E-016,  2.48E-016,  1.48E-015,  1.90E-016,  1.27E-015
HD-209458                      ,  ,         55106.664,  1.98E-015,  2.14E-016,  9.21E-017,  2.74E-016,  6.71E-017,  2.49E-016,  2.26E-015,  2.05E-016,  2.10E-016,  1.74E-015,  1.95E-016,  1.31E-015
HD-209458                      ,  ,         55106.682,  1.75E-015,  1.97E-016,  8.06E-017,  3.27E-016,  7.40E-017,  3.18E-016,  2.18E-015,  2.08E-016,  2.92E-016,  1.53E-015,  1.83E-016,  1.29E-015
HD-209458                      ,  ,         55093.424,  2.01E-015,  1.79E-016,  9.70E-017,  2.84E-016,  5.40E-017,  2.83E-016,  2.30E-015,  1.80E-016,  2.19E-016,  1.85E-015,  1.87E-016,  1.35E-015
HD-209458                      ,  ,         55093.483,  2.06E-015,  2.64E-016,  1.34E-016,  2.74E-016,  8.41E-017,  2.22E-016,  2.41E-015,  2.46E-016,  1.71E-016,  1.73E-015,  2.15E-016,  1.37E-015
HD-209458                      ,  ,         55093.496,  1.88E-015,  1.88E-016,  1.38E-016,  3.26E-016,  6.09E-017,  2.62E-016,  2.36E-015,  1.98E-016,  2.86E-016,  1.91E-015,  1.96E-016,  1.37E-015
HD-209458                      ,  ,         55093.550,  1.69E-015,  3.35E-016,  1.17E-016,  4.53E-016,  1.32E-016,  1.94E-016,  2.41E-015,  3.15E-016,  1.24E-016,  1.73E-015,  2.61E-016,  1.51E-015
HD-209458                      ,  ,         55093.558,  1.87E-015,  1.71E-016,  9.53E-017,  2.98E-016,  5.88E-017,  3.40E-016,  2.39E-015,  1.85E-016,  1.69E-016,  1.54E-015,  1.70E-016,  1.32E-015
HD-209458                      ,  ,         55122.456,  2.37E-015,  2.71E-016,  1.70E-016,  2.82E-016,  8.45E-017,  3.20E-016,  2.71E-015,  2.50E-016,  1.69E-016,  2.23E-015,  2.32E-016,  1.31E-015
HD-209458                      ,  ,         55122.471,  2.09E-015,  2.53E-016,  1.77E-016,  3.95E-016,  8.74E-017,  2.95E-016,  2.49E-015,  2.39E-016,  1.94E-016,  1.75E-015,  2.12E-016,  1.44E-015
HD-209458                      ,  ,         55122.514,  2.15E-015,  2.29E-016,  1.65E-016,  2.84E-016,  7.33E-017,  3.48E-016,  2.51E-015,  2.17E-016,  1.66E-016,  2.34E-015,  2.24E-016,  1.29E-015
HD-209458                      ,  ,         55122.532,  2.43E-015,  2.39E-016,  1.22E-016,  3.51E-016,  7.43E-017,  3.06E-016,  2.39E-015,  2.13E-016,  1.69E-016,  2.49E-015,  2.26E-016,  1.18E-015
HD-209458                      ,  ,         55098.550,  2.06E-015,  1.86E-016,  1.75E-016,  4.02E-016,  5.74E-017,  2.36E-016,  2.40E-015,  1.83E-016,  1.84E-016,  1.85E-015,  1.85E-016,  1.33E-015
HD-209458                      ,  ,         55098.610,  2.13E-015,  2.74E-016,  1.94E-016,  3.78E-016,  8.83E-017,  1.89E-016,  2.51E-015,  2.58E-016,  2.65E-016,  1.89E-015,  2.21E-016,  1.32E-015
HD-209458                      ,  ,         55098.623,  2.20E-015,  2.07E-016,  1.19E-016,  3.97E-016,  6.57E-017,  2.64E-016,  2.75E-015,  2.12E-016,  1.37E-016,  1.98E-015,  2.06E-016,  1.45E-015
HD-209458                      ,  ,         55098.676,  2.16E-015,  2.75E-016,  1.51E-016,  2.81E-016,  8.85E-017,  2.64E-016,  2.55E-015,  2.59E-016,  2.34E-016,  1.70E-015,  2.12E-016,  1.31E-015
HD-209458                      ,  ,         55098.689,  2.10E-015,  1.96E-016,  5.93E-017,  3.53E-016,  6.09E-017,  2.13E-016,  2.41E-015,  1.97E-016,  1.56E-016,  1.77E-015,  1.91E-016,  1.38E-015
HD-209458                      ,  ,         57379.994,  1.58E-015,  1.09E-016,  1.06E-016,  2.38E-016,  3.26E-017,  2.50E-016,  1.98E-015,  1.29E-016,  1.96E-016,  1.57E-015,  1.48E-016,  1.21E-015
HD-209458                      ,  ,         57397.617,  1.56E-015,  1.08E-016,  1.05E-016,  2.79E-016,  3.58E-017,  2.70E-016,  1.97E-015,  1.30E-016,  1.94E-016,  1.61E-015,  1.50E-016,  1.21E-015
HD-209458                      ,  ,         57520.977,  1.61E-015,  1.13E-016,  1.26E-016,  2.87E-016,  3.66E-017,  2.73E-016,  1.88E-015,  1.26E-016,  2.32E-016,  1.49E-015,  1.46E-016,  1.24E-015
