Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 115383,  ,         2445012.1,  1.41E-013,  2.14E-014,  1.19E-013,  -9.90E-015,  8.51E-015,  1.48E-013,  2.67E-013,  1.97E-014,  9.65E-014,  2.84E-013,  2.33E-014,  1.59E-013
59 VIR  ,  ,         2445015.1,  2.15E-013,  2.98E-014,  1.57E-013,  4.86E-014,  9.11E-015,  9.08E-014,  3.57E-013,  2.47E-014,  9.62E-014,  2.96E-013,  2.61E-014,  1.97E-013
HD 115383,  ,         2445914.0,  3.63E-013,  4.36E-014,  2.23E-013,  2.45E-014,  1.39E-014,  2.03E-013,  3.26E-013,  2.42E-014,  1.12E-013,  2.79E-013,  2.94E-014,  2.74E-013
HD 115383,  ,         2445914.1,  2.07E-013,  3.98E-014,  1.79E-013,  -1.54E-013,  1.02E-014,  2.34E-013,  4.18E-013,  3.54E-014,  1.85E-013,  7.54E-013,  4.95E-014,  1.42E-013
HD 115383,  ,         2449117.4,  1.89E-013,  3.29E-014,  1.07E-013,  1.16E-014,  1.30E-014,  1.50E-013,  3.19E-013,  2.55E-014,  1.05E-013,  1.76E-013,  1.77E-014,  1.10E-013
HD 115383,  ,         2449118.4,  2.04E-013,  3.27E-014,  1.48E-013,  2.15E-014,  1.15E-014,  1.42E-013,  3.40E-013,  2.45E-014,  9.66E-014,  2.39E-013,  2.58E-014,  2.34E-013
HD 115383,  ,         2449120.3,  2.94E-013,  3.66E-014,  1.32E-013,  3.45E-014,  1.29E-014,  1.68E-013,  3.82E-013,  2.48E-014,  5.64E-014,  3.26E-013,  2.79E-014,  1.99E-013
HD 115383,  ,         2449121.2,  4.84E-013,  6.96E-014,  -5.94E-014,  -3.96E-013,  2.64E-014,  6.16E-013,  2.11E-013,  2.34E-014,  -3.41E-014,  -2.20E-013,  2.48E-014,  4.72E-013
HD 115383,  ,         2449122.2,  1.56E-013,  5.23E-014,  2.23E-013,  -1.16E-013,  1.45E-014,  2.66E-013,  3.75E-013,  2.71E-014,  3.74E-014,  2.90E-013,  3.04E-014,  2.12E-013
HD 115383,  ,         2449125.1,  4.18E-013,  7.15E-014,  4.16E-013,  1.87E-014,  1.37E-014,  1.92E-013,  3.26E-013,  2.26E-014,  7.30E-014,  3.57E-013,  2.81E-014,  1.56E-013
HD 115383,  ,         2449126.2,  5.51E-013,  6.64E-014,  2.14E-013,  1.12E-013,  1.70E-014,  1.37E-013,  2.74E-013,  2.37E-014,  1.25E-013,  1.51E-013,  1.84E-014,  1.57E-013
HD 115383,  ,         2449127.1,  3.46E-013,  4.53E-014,  1.58E-013,  7.94E-014,  1.61E-014,  1.60E-013,  1.93E-013,  2.12E-014,  1.55E-013,  2.09E-013,  2.03E-014,  1.40E-013
HD 115383,  ,         2449128.2,  8.47E-015,  7.65E-014,  3.69E-013,  1.40E-013,  1.67E-014,  8.01E-014,  2.46E-013,  1.85E-014,  2.48E-014,  2.35E-013,  2.71E-014,  2.18E-013
HD 115383,  ,         2449129.2,  4.19E-013,  6.95E-014,  2.04E-013,  2.05E-014,  1.05E-014,  8.65E-014,  2.01E-013,  1.79E-014,  6.62E-014,  1.75E-013,  1.71E-014,  8.51E-014
HD 115383,  ,         2449130.2,  8.46E-013,  1.23E-013,  3.83E-013,  -3.14E-013,  2.31E-014,  5.45E-013,  1.91E-013,  2.92E-014,  1.61E-013,  6.53E-013,  5.22E-014,  1.91E-013
HD 115383,  ,         2449131.2,  6.20E-013,  8.70E-014,  2.37E-013,  1.77E-014,  1.71E-014,  1.96E-013,  2.72E-013,  2.59E-014,  1.26E-013,  3.43E-013,  2.93E-014,  1.47E-013
HD 115383,  ,         2449132.1,  1.80E-013,  4.40E-014,  1.24E-013,  -4.62E-014,  1.05E-014,  1.12E-013,  3.34E-014,  1.74E-014,  1.76E-013,  2.53E-013,  3.75E-014,  3.98E-013
HD 115383,  ,         2449133.3,  1.20E-013,  2.02E-014,  7.28E-014,  6.47E-014,  1.26E-014,  1.39E-013,  2.83E-013,  2.14E-014,  9.92E-014,  3.37E-013,  2.28E-014,  8.12E-014
HD 115383,  ,         2449167.2,  1.63E-013,  2.44E-014,  9.21E-014,  3.81E-014,  1.37E-014,  1.72E-013,  4.21E-013,  2.51E-014,  1.98E-014,  2.98E-013,  2.65E-014,  1.81E-013
59 VIR  ,  ,         2449891.3,  1.29E-013,  2.30E-014,  1.38E-013,  2.53E-014,  1.04E-014,  1.39E-013,  4.34E-013,  2.38E-014,  1.28E-015,  3.47E-013,  3.09E-014,  2.37E-013
