Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
AR LAC  ,  ,         2444011.9,  2.95E-013,  4.50E-014,  2.00E-013,  2.74E-013,  2.25E-014,  5.35E-014,  9.32E-013,  5.66E-014,  9.45E-014,  4.64E-013,  3.48E-014,  1.56E-013
AR LAC  ,  ,         2444011.9,  3.42E-013,  3.69E-014,  1.60E-013,  1.98E-013,  1.80E-014,  1.09E-013,  7.99E-013,  4.92E-014,  1.17E-013,  4.75E-013,  3.36E-014,  1.55E-013
AR LAC  ,  ,         2444012.0,  2.58E-013,  3.39E-014,  1.82E-013,  2.67E-013,  2.13E-014,  1.03E-013,  7.71E-013,  4.68E-014,  1.11E-013,  4.71E-013,  3.19E-014,  1.33E-013
AR LAC  ,  ,         2444012.1,  1.96E-013,  3.23E-014,  2.36E-013,  2.09E-013,  1.77E-014,  9.58E-014,  6.40E-013,  4.00E-014,  1.09E-013,  4.90E-013,  3.23E-014,  1.23E-013
AR LAC  ,  ,         2444012.1,  2.13E-013,  3.24E-014,  2.05E-013,  1.72E-013,  1.46E-014,  6.90E-014,  5.55E-013,  3.54E-014,  1.01E-013,  3.97E-013,  3.03E-014,  1.75E-013
AR LAC  ,  ,         2444012.2,  2.67E-013,  3.52E-014,  1.51E-013,  2.53E-013,  1.93E-014,  5.89E-014,  5.12E-013,  3.51E-014,  1.18E-013,  3.47E-013,  3.54E-014,  3.05E-013
AR LAC  ,  ,         2444012.3,  2.52E-013,  4.59E-014,  2.68E-013,  3.76E-013,  2.58E-014,  2.33E-014,  5.03E-013,  3.64E-014,  1.02E-013,  5.99E-013,  3.78E-014,  6.76E-014
AR LAC  ,  ,         2444012.3,  4.50E-013,  5.83E-014,  3.40E-013,  1.90E-013,  2.51E-014,  2.27E-013,  8.27E-013,  5.17E-014,  1.20E-013,  5.68E-013,  3.65E-014,  1.05E-013
AR LAC  ,  ,         2444012.4,  7.43E-013,  8.09E-014,  5.12E-013,  4.77E-013,  4.01E-014,  2.48E-013,  1.15E-012,  7.34E-014,  2.45E-013,  1.19E-012,  7.80E-014,  3.20E-013
AR LAC  ,  ,         2444012.5,  4.27E-013,  5.76E-014,  2.63E-013,  3.10E-013,  2.54E-014,  1.23E-013,  9.43E-013,  5.73E-014,  1.23E-013,  6.58E-013,  4.44E-014,  1.82E-013
