Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
ALPHA CEN A,,2443737.7,-7.83E-13,1.83E-13,3.69E-12,-1.19E-12,2.82E-13,6.54E-12,2.68E-12,3.85E-13,4.73E-12,2.50E-12,5.98E-13,9.21E-12
ALPHA CEN A,,2443737.7,2.09E-13,3.36E-14,-5.13E-14,8.12E-15,4.10E-15,-1.14E-13,-1.22E-13,-1.87E-15,-5.20E-14,-1.25E-13,7.53E-16,3.20E-14
ALPHA CEN A,,2443737.8,-8.09E-13,2.00E-13,3.71E-12,-5.02E-13,3.00E-13,6.08E-12,3.09E-12,4.06E-13,4.65E-12,1.62E-12,5.82E-13,9.70E-12
ALPHA CEN A,,2443737.8,1.45E-13,4.89E-13,2.91E-12,5.11E-13,2.82E-13,2.62E-12,2.27E-12,4.30E-13,4.43E-12,5.89E-13,5.49E-13,8.79E-12
ALPHA CEN B,,2443738,1.07E-13,5.71E-14,6.53E-13,-4.42E-14,5.48E-14,1.01E-12,1.26E-12,1.02E-13,6.32E-13,7.87E-13,9.91E-14,1.10E-12
ALF CENA,,2444040.9,2.24E-13,3.94E-13,3.16E-12,2.60E-13,4.23E-13,6.63E-12,1.84E-12,4.41E-13,5.85E-12,3.00E-12,6.34E-13,8.79E-12
HD 128620,,2444353.4,1.83E-12,5.75E-13,-1.76E-12,3.38E-12,2.47E-13,-2.17E-12,2.74E-12,2.11E-13,-1.23E-12,-3.61E-13,3.53E-13,5.12E-12
ALF CENB,,2444377.9,4.44E-13,7.92E-14,6.59E-13,1.60E-13,5.21E-14,7.71E-13,1.67E-12,1.22E-13,6.63E-13,8.56E-13,1.00E-13,1.07E-12
HD 128620,,2444468.6,7.72E-13,2.76E-13,2.38E-12,-9.28E-13,2.57E-13,5.32E-12,2.71E-12,4.15E-13,4.91E-12,2.45E-12,5.66E-13,8.33E-12
HD 128621,,2444468.7,6.98E-13,1.30E-13,2.06E-13,-1.19E-13,3.82E-14,4.16E-13,3.68E-13,5.50E-14,2.27E-13,9.69E-13,8.96E-14,4.11E-13
HD 128620,,2444479.7,-1.24E-12,1.98E-13,3.95E-12,-2.26E-13,2.96E-13,5.74E-12,2.41E-12,3.76E-13,4.71E-12,2.49E-12,5.50E-13,8.21E-12
HD 128621,,2444479.8,8.48E-14,1.08E-13,7.41E-13,6.24E-14,4.94E-14,5.67E-13,1.30E-12,1.11E-13,6.07E-13,4.12E-13,6.93E-14,7.37E-13
HD 128620,,2444488,4.64E-13,3.35E-13,3.17E-12,-3.26E-13,3.53E-13,6.35E-12,4.15E-12,4.44E-13,3.92E-12,1.65E-12,6.15E-13,9.98E-12
HD 128621,,2444488,2.90E-13,1.21E-13,7.70E-15,3.33E-13,4.07E-14,-2.27E-13,4.46E-13,5.15E-14,3.30E-14,3.96E-13,4.21E-14,2.95E-14
HD 128620,,2444495,-2.08E-12,3.04E-13,4.49E-12,-9.47E-13,3.17E-13,6.20E-12,3.78E-12,5.44E-13,6.15E-12,3.34E-12,5.72E-13,7.40E-12
HD 128621,,2444495,4.06E-13,2.04E-13,5.79E-13,-4.33E-13,4.35E-14,5.79E-13,1.06E-12,1.30E-13,8.61E-13,1.34E-12,7.59E-14,-3.00E-13
HD 128620,,2444500,7.45E-13,3.37E-13,3.15E-12,-1.08E-12,3.32E-13,6.76E-12,4.65E-12,4.63E-13,3.85E-12,1.19E-12,5.48E-13,9.14E-12
HD 128621,,2444500,8.67E-13,1.83E-13,3.46E-13,-4.97E-13,4.24E-14,6.18E-13,1.94E-12,1.29E-13,1.41E-14,1.73E-12,1.09E-13,-1.29E-14
