Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 129333,  ,         2445152.7,  7.23E-014,  1.13E-014,  6.02E-014,  -8.82E-015,  1.96E-015,  2.92E-014,  1.03E-013,  6.31E-015,  6.80E-015,  9.05E-014,  6.60E-015,  2.71E-014
HD 129333,  ,         2445629.5,  1.29E-013,  1.81E-014,  9.28E-014,  1.49E-014,  3.38E-015,  3.12E-014,  5.98E-014,  4.36E-015,  7.79E-015,  7.11E-014,  6.10E-015,  3.62E-014
HD129333,  ,         2447340.5,  2.04E-013,  2.22E-014,  8.02E-014,  1.94E-014,  2.63E-015,  1.48E-014,  1.35E-013,  8.72E-015,  2.04E-014,  6.74E-014,  5.39E-015,  2.74E-014
HD 129333,  ,         2447342.7,  1.78E-013,  1.91E-014,  7.93E-014,  2.86E-014,  3.63E-015,  2.33E-014,  8.50E-014,  6.37E-015,  2.24E-014,  1.25E-013,  6.74E-015,  -4.90E-015
HD 129333,  ,         2447344.7,  2.57E-013,  2.46E-014,  6.98E-014,  1.05E-014,  3.94E-015,  4.79E-014,  1.09E-013,  6.90E-015,  1.09E-014,  8.01E-014,  5.92E-015,  2.39E-014
HD 129333,  ,         2447346.7,  1.84E-013,  2.21E-014,  8.11E-014,  4.61E-015,  3.99E-015,  5.34E-014,  7.95E-014,  7.92E-015,  5.62E-014,  1.01E-013,  7.64E-015,  3.56E-014
HD 129333,  ,         2447718.3,  7.36E-014,  3.27E-014,  2.24E-015,  -7.45E-015,  5.13E-015,  4.09E-014,  1.05E-013,  6.49E-015,  -3.10E-014,  6.20E-014,  6.64E-015,  1.84E-014
HD 129333,  ,         2448388.2,  3.07E-013,  3.09E-014,  8.00E-014,  1.78E-014,  5.06E-015,  6.18E-014,  1.08E-013,  7.15E-015,  1.76E-014,  9.83E-014,  6.78E-015,  2.21E-014
HD 129333,  ,         2448428.7,  2.16E-013,  2.29E-014,  8.14E-014,  2.17E-014,  3.98E-015,  4.15E-014,  9.96E-014,  6.68E-015,  1.77E-014,  7.16E-014,  5.83E-015,  3.38E-014
HD 129333,  ,         2448694.0,  8.93E-014,  1.73E-014,  1.29E-013,  4.52E-016,  3.00E-015,  4.14E-014,  9.53E-014,  5.89E-015,  5.60E-015,  8.09E-014,  5.87E-015,  2.35E-014
HD 129333,  ,         2448773.9,  5.97E-013,  5.27E-014,  1.06E-013,  1.09E-014,  5.29E-015,  7.03E-014,  1.08E-013,  8.19E-015,  3.50E-014,  1.11E-013,  8.66E-015,  4.53E-014
HD 129333,  ,         2449422.1,  2.41E-013,  3.80E-014,  1.21E-013,  -1.85E-014,  6.49E-015,  9.28E-014,  7.69E-014,  7.82E-015,  2.90E-014,  8.97E-014,  4.57E-015,  -3.79E-014
HD 129333,  ,         2449426.1,  2.64E-013,  4.46E-014,  2.36E-013,  2.05E-014,  6.39E-015,  6.69E-014,  1.03E-013,  7.52E-015,  6.95E-015,  9.08E-014,  8.73E-015,  5.56E-014
HD 129333,  ,         2449496.9,  1.39E-013,  1.55E-014,  5.98E-014,  3.64E-014,  3.95E-015,  2.39E-014,  1.26E-013,  7.93E-015,  1.63E-014,  1.30E-013,  8.62E-015,  2.97E-014
HD 129333,  ,         2449887.8,  2.23E-013,  2.51E-014,  1.08E-013,  2.77E-014,  5.12E-015,  5.30E-014,  7.20E-014,  7.29E-015,  5.56E-014,  7.75E-014,  6.42E-015,  3.66E-014
HD 129333,  ,         2449888.8,  1.61E-013,  2.45E-014,  1.02E-013,  1.59E-014,  5.46E-015,  6.43E-014,  1.18E-013,  8.98E-015,  3.54E-014,  1.04E-013,  9.85E-015,  7.38E-014
HD 129333,  ,         2449889.8,  1.16E-013,  2.32E-014,  1.40E-013,  -7.31E-016,  5.64E-015,  8.37E-014,  8.02E-014,  6.46E-015,  2.28E-014,  9.77E-014,  8.24E-015,  4.75E-014
HD 129333,  ,         2449893.8,  4.80E-013,  5.83E-014,  1.14E-013,  -6.76E-015,  5.85E-015,  8.60E-014,  9.77E-014,  7.56E-015,  7.84E-015,  6.92E-014,  7.00E-015,  3.69E-014
