Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
XI BOO  ,  ,         2443644.9,  2.23E-013,  3.06E-014,  1.19E-013,  5.46E-014,  1.27E-014,  1.30E-013,  3.75E-013,  2.96E-014,  1.60E-013,  4.35E-013,  3.18E-014,  1.59E-013
XI BOO  ,  ,         2443645.0,  2.26E-013,  3.18E-014,  1.96E-013,  5.92E-014,  1.19E-014,  1.46E-013,  4.23E-013,  2.84E-014,  9.99E-014,  3.49E-013,  2.79E-014,  1.83E-013
HD 131156,  ,         2443741.6,  2.27E-013,  2.86E-014,  1.95E-013,  1.06E-013,  1.43E-014,  1.34E-013,  4.64E-013,  3.20E-014,  1.16E-013,  4.82E-013,  3.50E-014,  1.86E-013
HD 131156,  ,         2444437.2,  3.96E-013,  6.03E-014,  2.43E-013,  -9.78E-014,  1.87E-014,  3.45E-013,  6.46E-013,  4.38E-014,  1.09E-013,  3.32E-013,  4.31E-014,  4.39E-013
HD 131156,  ,         2444599.8,  3.18E-013,  3.63E-014,  2.14E-013,  5.91E-014,  1.28E-014,  1.55E-013,  5.42E-013,  3.46E-014,  1.03E-013,  4.57E-013,  3.42E-014,  1.99E-013
HD 131156,  ,         2444702.4,  4.01E-013,  5.23E-014,  2.25E-013,  2.89E-014,  1.46E-014,  1.78E-013,  3.45E-013,  2.89E-014,  1.49E-013,  2.81E-013,  2.90E-014,  2.31E-013
HD 131156,  ,         2444862.6,  1.81E-013,  2.87E-014,  2.23E-013,  4.59E-014,  1.24E-014,  1.59E-013,  4.40E-013,  3.06E-014,  1.23E-013,  3.22E-013,  2.73E-014,  1.87E-013
HD 131156,  ,         2444867.5,  1.68E-013,  3.16E-014,  2.03E-013,  2.39E-014,  1.19E-014,  1.70E-013,  4.55E-013,  3.08E-014,  1.14E-013,  3.41E-013,  2.55E-014,  1.37E-013
HD 131156,  ,         2445079.9,  2.04E-013,  3.06E-014,  1.72E-013,  1.26E-014,  9.74E-015,  1.46E-013,  4.57E-013,  3.00E-014,  9.18E-014,  4.03E-013,  2.99E-014,  1.64E-013
HD 131156,  ,         2445080.0,  2.37E-013,  3.70E-014,  1.91E-013,  6.85E-014,  1.45E-014,  1.60E-013,  5.30E-013,  3.42E-014,  9.58E-014,  4.62E-013,  3.46E-014,  1.87E-013
HD 131156,  ,         2445082.4,  1.71E-013,  3.79E-014,  8.89E-014,  3.45E-014,  1.66E-014,  1.59E-013,  4.64E-013,  4.01E-014,  2.04E-013,  4.90E-013,  3.83E-014,  1.67E-013
