Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 36705,  ,         2445082.5,  1.56E-013,  3.00E-014,  1.72E-013,  1.21E-013,  1.30E-014,  9.84E-014,  5.68E-013,  3.36E-014,  5.28E-014,  3.72E-013,  2.40E-014,  7.22E-014
HD 36705,  ,         2445435.6,  1.90E-013,  2.89E-014,  1.69E-013,  1.60E-013,  1.45E-014,  8.57E-014,  5.06E-013,  3.13E-014,  6.85E-014,  3.39E-013,  2.28E-014,  8.70E-014
HD 36705,  ,         2445435.7,  2.05E-013,  3.12E-014,  1.62E-013,  1.51E-013,  1.40E-014,  8.67E-014,  5.82E-013,  3.57E-014,  7.87E-014,  3.72E-013,  2.70E-014,  1.36E-013
HD 36705,  ,         2445435.8,  3.38E-013,  3.82E-014,  2.09E-013,  2.16E-013,  1.79E-014,  1.01E-013,  6.12E-013,  3.47E-014,  4.12E-014,  4.81E-013,  3.15E-014,  1.21E-013
HD 36705,  ,         2445438.2,  1.58E-013,  2.65E-014,  1.20E-013,  1.49E-013,  1.40E-014,  8.80E-014,  4.71E-013,  2.74E-014,  3.22E-014,  2.81E-013,  2.16E-014,  1.18E-013
HD36705 ,  ,         2445445.7,  2.87E-013,  3.79E-014,  2.02E-013,  1.47E-013,  1.49E-014,  1.11E-013,  5.76E-013,  3.56E-014,  7.87E-014,  4.05E-013,  2.75E-014,  1.15E-013
HD 36705,  ,         2445542.9,  1.88E-013,  3.07E-014,  7.99E-014,  1.80E-013,  1.33E-014,  1.40E-014,  4.98E-013,  2.67E-014,  -3.13E-014,  2.60E-013,  1.78E-014,  4.16E-014
HD 36705,  ,         2445543.7,  1.92E-013,  2.81E-014,  1.23E-013,  1.79E-013,  1.41E-014,  5.29E-014,  5.24E-013,  3.19E-014,  6.35E-014,  3.39E-013,  2.10E-014,  4.97E-014
HD 36705,  ,         2445543.9,  1.13E-013,  4.01E-014,  2.60E-013,  2.60E-013,  2.12E-014,  4.20E-014,  4.57E-013,  3.70E-014,  1.17E-013,  2.79E-013,  2.29E-014,  8.18E-014
HD36705 ,  ,         2446735.3,  1.93E-013,  3.13E-014,  1.59E-013,  2.70E-013,  1.95E-014,  6.36E-014,  5.93E-013,  3.67E-014,  8.43E-014,  5.51E-013,  3.69E-014,  1.45E-013
