Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
ALPHA CEN B,  ,         2443738.0,  1.07E-013,  5.71E-014,  6.53E-013,  -4.42E-014,  5.48E-014,  1.01E-012,  1.26E-012,  1.02E-013,  6.32E-013,  7.87E-013,  9.91E-014,  1.10E-012
ALF CENB,  ,         2444377.9,  4.44E-013,  7.92E-014,  6.59E-013,  1.60E-013,  5.21E-014,  7.71E-013,  1.67E-012,  1.22E-013,  6.63E-013,  8.56E-013,  1.00E-013,  1.07E-012
HD 128621,  ,         2444468.7,  6.98E-013,  1.30E-013,  2.06E-013,  -1.19E-013,  3.82E-014,  4.16E-013,  3.68E-013,  5.50E-014,  2.27E-013,  9.69E-013,  8.96E-014,  4.11E-013
HD 128621,  ,         2444479.8,  8.48E-014,  1.08E-013,  7.41E-013,  6.24E-014,  4.94E-014,  5.67E-013,  1.30E-012,  1.11E-013,  6.07E-013,  4.12E-013,  6.93E-014,  7.37E-013
HD 128621,  ,         2444488.0,  2.90E-013,  1.21E-013,  7.70E-015,  3.33E-013,  4.07E-014,  -2.27E-013,  4.46E-013,  5.15E-014,  3.30E-014,  3.96E-013,  4.21E-014,  2.95E-014
HD 128621,  ,         2444495.0,  4.06E-013,  2.04E-013,  5.79E-013,  -4.33E-013,  4.35E-014,  5.79E-013,  1.06E-012,  1.30E-013,  8.61E-013,  1.34E-012,  7.59E-014,  -3.00E-013
HD 128621,  ,         2444500.0,  8.67E-013,  1.83E-013,  3.46E-013,  -4.97E-013,  4.24E-014,  6.18E-013,  1.94E-012,  1.29E-013,  1.41E-014,  1.73E-012,  1.09E-013,  -1.29E-014
HD 128621,  ,         2444503.9,  4.11E-013,  2.11E-013,  7.45E-013,  -5.48E-013,  2.89E-014,  3.85E-013,  1.36E-012,  1.57E-013,  1.10E-012,  1.78E-012,  1.33E-013,  3.73E-013
HD 128621,  ,         2444507.0,  -9.66E-013,  2.28E-013,  1.87E-012,  -2.50E-013,  6.53E-014,  8.32E-013,  1.45E-012,  1.39E-013,  6.20E-013,  1.33E-012,  1.35E-013,  8.63E-013
HD 128621,  ,         2444729.2,  -2.53E-013,  2.16E-013,  1.23E-012,  1.92E-013,  5.65E-014,  1.11E-013,  1.90E-012,  1.38E-013,  2.06E-013,  1.85E-012,  1.03E-013,  -3.41E-013
HD 128621,  ,         2444742.3,  -6.63E-013,  3.09E-013,  1.55E-012,  1.86E-013,  6.70E-014,  3.64E-013,  1.93E-012,  1.09E-013,  -4.13E-013,  2.18E-012,  1.08E-013,  -5.57E-013
HD 128621,  ,         2444748.4,  7.58E-013,  2.13E-013,  5.80E-013,  2.79E-013,  9.41E-014,  7.97E-013,  1.34E-012,  9.75E-014,  -7.39E-014,  -4.28E-013,  5.65E-014,  1.04E-012
