Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD16157 ,  ,         2447796.3,  1.78E-013,  3.89E-014,  -3.20E-014,  4.55E-014,  1.18E-014,  9.17E-014,  2.87E-013,  2.05E-014,  3.32E-014,  4.07E-014,  6.38E-015,  3.06E-014
HD 16157,  ,         2447796.4,  7.74E-014,  1.63E-014,  4.16E-014,  5.99E-014,  9.09E-015,  8.79E-014,  3.50E-013,  2.02E-014,  2.39E-014,  1.23E-013,  9.39E-015,  4.58E-014
HD 16157,  ,         2447832.7,  1.35E-013,  2.46E-014,  6.71E-014,  2.54E-013,  2.09E-014,  8.24E-014,  4.20E-013,  2.61E-014,  2.11E-015,  1.04E-013,  5.71E-015,  -3.59E-014
HD 16157,  ,         2447832.8,  2.10E-013,  3.49E-014,  1.11E-013,  1.55E-013,  1.56E-014,  5.83E-014,  6.12E-013,  3.79E-014,  2.85E-014,  2.11E-013,  1.98E-014,  1.23E-013
HD 16157,  ,         2447832.9,  2.92E-013,  4.08E-014,  1.18E-013,  1.71E-013,  1.70E-014,  7.74E-014,  4.96E-013,  3.27E-014,  5.17E-014,  2.11E-013,  1.19E-014,  -3.13E-014
HD 16157,  ,         2447833.0,  4.91E-014,  3.50E-014,  1.23E-013,  2.05E-015,  6.45E-015,  5.67E-014,  6.14E-014,  5.75E-015,  -3.53E-015,  6.26E-014,  6.08E-015,  1.46E-014
HD 16157,  ,         2447833.3,  1.04E-013,  3.22E-014,  1.95E-013,  1.73E-013,  1.69E-014,  8.78E-014,  4.77E-013,  3.16E-014,  3.22E-014,  2.39E-013,  1.87E-014,  8.38E-014
HD 16157,  ,         2447833.4,  2.13E-013,  2.69E-014,  2.74E-014,  8.30E-014,  1.28E-014,  9.29E-014,  4.10E-013,  2.64E-014,  8.55E-015,  4.51E-014,  5.65E-015,  1.94E-014
HD 16157,  ,         2447833.5,  1.35E-013,  2.75E-014,  1.16E-013,  1.36E-013,  1.39E-014,  6.04E-014,  5.21E-013,  3.17E-014,  8.16E-015,  1.44E-013,  1.04E-014,  1.40E-014
HD 16157,  ,         2447833.5,  1.33E-013,  2.41E-014,  6.85E-014,  1.58E-013,  1.74E-014,  1.08E-013,  3.32E-013,  2.07E-014,  2.38E-016,  1.60E-013,  1.04E-014,  -2.05E-015
HD 16157,  ,         2447833.6,  2.12E-013,  2.38E-014,  2.06E-014,  1.61E-013,  1.62E-014,  9.55E-014,  3.56E-013,  2.22E-014,  2.83E-015,  1.71E-013,  9.82E-015,  -1.58E-014
HD 16157,  ,         2447833.7,  1.99E-013,  2.75E-014,  5.67E-014,  1.15E-013,  1.64E-014,  1.36E-013,  4.46E-013,  2.65E-014,  -3.63E-015,  9.47E-014,  6.24E-015,  -1.88E-014
HD 16157,  ,         2447833.8,  1.40E-013,  3.13E-014,  1.57E-013,  1.79E-013,  1.53E-014,  4.27E-014,  3.97E-013,  2.60E-014,  3.00E-014,  5.09E-015,  9.59E-015,  1.27E-013
HD16157 ,  ,         2447833.9,  4.02E-013,  5.68E-014,  1.82E-013,  1.28E-013,  1.41E-014,  8.94E-014,  4.11E-013,  2.29E-014,  -3.40E-014,  7.08E-014,  7.17E-015,  3.24E-014
HD 16157,  ,         2447834.3,  1.43E-013,  2.88E-014,  1.61E-013,  1.30E-013,  1.69E-014,  1.39E-013,  5.09E-013,  3.59E-014,  8.07E-014,  1.83E-013,  1.39E-014,  4.90E-014
HD 16157,  ,         2447834.4,  1.09E-013,  2.81E-014,  1.30E-013,  9.70E-014,  1.30E-014,  7.50E-014,  4.59E-013,  3.05E-014,  4.09E-014,  1.76E-013,  1.25E-014,  1.84E-014
HD 16157,  ,         2447834.4,  1.58E-013,  2.45E-014,  6.57E-014,  8.73E-014,  1.47E-014,  1.41E-013,  4.53E-013,  2.81E-014,  5.80E-015,  9.34E-014,  7.25E-015,  1.04E-014
HD 16157,  ,         2447834.5,  1.37E-013,  2.35E-014,  8.51E-014,  1.33E-013,  1.36E-014,  7.09E-014,  3.75E-013,  2.73E-014,  6.59E-014,  7.80E-014,  5.63E-015,  -8.29E-015
HD 16157,  ,         2448252.2,  6.58E-014,  1.20E-014,  4.10E-014,  1.39E-013,  1.07E-014,  4.28E-014,  3.20E-013,  1.92E-014,  3.08E-014,  1.48E-013,  1.06E-014,  4.40E-014
