Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 22049,  ,         2443744.1,  2.30E-013,  4.07E-014,  2.85E-013,  1.79E-013,  2.20E-014,  1.87E-013,  7.18E-013,  4.79E-014,  1.60E-013,  3.85E-013,  3.38E-014,  2.39E-013
HD 22049,  ,         2444454.8,  2.99E-013,  4.90E-014,  2.54E-013,  4.98E-014,  1.79E-014,  2.42E-013,  7.93E-013,  4.95E-014,  1.20E-013,  6.10E-013,  4.08E-014,  1.52E-013
HD 22049,  ,         2444479.9,  4.32E-013,  5.29E-014,  1.58E-013,  2.19E-013,  2.62E-014,  1.68E-013,  8.29E-013,  5.58E-014,  1.76E-013,  5.09E-013,  3.60E-014,  1.19E-013
HD 22049,  ,         2444488.0,  2.53E-013,  5.32E-014,  2.48E-013,  3.29E-013,  2.74E-014,  4.69E-014,  8.67E-013,  5.69E-014,  1.19E-013,  5.54E-013,  4.96E-014,  3.23E-013
HD 22049,  ,         2444495.1,  5.67E-014,  7.37E-014,  3.78E-013,  -4.38E-014,  2.04E-014,  2.65E-013,  6.33E-013,  4.77E-014,  1.67E-013,  7.77E-013,  4.61E-014,  1.21E-014
HD 22049,  ,         2444500.1,  3.98E-013,  7.53E-014,  2.74E-013,  -2.46E-014,  2.12E-014,  2.62E-013,  7.72E-013,  5.33E-014,  1.17E-013,  7.71E-013,  4.15E-014,  -7.51E-014
HD 22049,  ,         2444504.0,  7.71E-014,  6.51E-014,  3.71E-013,  -1.20E-013,  1.87E-014,  3.09E-013,  7.61E-013,  5.21E-014,  9.66E-014,  4.26E-013,  4.32E-014,  2.80E-013
HD 22049,  ,         2444507.1,  -6.37E-014,  7.62E-014,  4.80E-013,  -1.16E-013,  1.45E-014,  1.87E-013,  3.06E-013,  3.19E-014,  1.14E-013,  5.83E-013,  3.99E-014,  6.83E-014
HD 22049,  ,         2444563.9,  1.76E-013,  7.54E-014,  3.12E-013,  -2.30E-013,  2.28E-014,  4.05E-013,  6.42E-013,  4.95E-014,  1.04E-013,  4.66E-013,  3.67E-014,  6.42E-014
HD 22049,  ,         2444567.9,  4.95E-013,  8.01E-014,  2.22E-013,  5.89E-014,  2.02E-014,  1.69E-013,  7.55E-013,  4.98E-014,  8.36E-014,  4.10E-013,  2.27E-014,  -8.07E-014
HD 22049,  ,         2444572.9,  3.58E-013,  5.89E-014,  1.90E-013,  2.74E-013,  2.89E-014,  1.15E-013,  7.29E-013,  4.83E-014,  8.38E-014,  1.83E-013,  2.24E-014,  1.38E-013
HD 22049,  ,         2444576.8,  3.13E-013,  5.86E-014,  2.05E-013,  2.03E-013,  1.92E-014,  3.17E-015,  6.59E-013,  4.77E-014,  1.22E-013,  1.05E-013,  1.51E-014,  8.71E-014
HD 22049,  ,         2444890.9,  3.40E-013,  5.70E-014,  2.66E-013,  1.93E-013,  2.35E-014,  1.70E-013,  3.82E-013,  4.22E-014,  3.23E-013,  2.99E-013,  3.28E-014,  2.76E-013
HD 22049,  ,         2444905.0,  1.70E-013,  4.16E-014,  3.32E-013,  9.91E-014,  1.82E-014,  1.99E-013,  6.66E-013,  4.12E-014,  7.66E-014,  4.28E-013,  3.49E-014,  2.29E-013
HD 22049,  ,         2444909.8,  2.89E-013,  4.37E-014,  3.41E-013,  4.22E-014,  1.97E-014,  2.93E-013,  5.54E-013,  3.95E-014,  1.51E-013,  3.67E-013,  2.96E-014,  1.83E-013
SAO 130564,  ,         2445180.0,  -9.42E-014,  5.36E-014,  3.45E-013,  -1.86E-013,  1.48E-014,  2.42E-013,  2.59E-013,  3.32E-014,  1.79E-013,  -2.61E-013,  1.95E-014,  4.66E-013
SAO 130564,  ,         2445181.0,  4.93E-014,  4.78E-014,  3.58E-013,  7.28E-014,  1.36E-014,  1.54E-014,  6.03E-013,  4.14E-014,  4.69E-014,  3.68E-013,  3.98E-014,  2.71E-013
SAO 130564,  ,         2445182.0,  1.05E-013,  3.49E-014,  2.74E-013,  7.07E-014,  1.66E-014,  1.71E-013,  6.07E-013,  4.03E-014,  1.07E-013,  3.69E-013,  3.14E-014,  1.93E-013
EPS ERI ,  ,         2445284.0,  2.40E-013,  5.02E-014,  3.84E-013,  1.33E-013,  1.95E-014,  1.80E-013,  6.30E-013,  3.94E-014,  8.34E-014,  4.87E-013,  3.40E-014,  1.47E-013
EPS ERI ,  ,         2445285.7,  2.17E-013,  3.72E-014,  2.59E-013,  1.14E-013,  1.77E-014,  1.89E-013,  6.13E-013,  3.87E-014,  1.11E-013,  4.24E-013,  3.04E-014,  1.50E-013
EPS ERI ,  ,         2445287.9,  4.20E-013,  5.85E-014,  2.74E-013,  9.18E-014,  1.68E-014,  1.53E-013,  6.11E-013,  4.22E-014,  1.42E-013,  3.97E-013,  2.96E-014,  1.33E-013
EPS ERI ,  ,         2445289.8,  4.39E-014,  4.36E-014,  3.41E-013,  -5.32E-014,  1.96E-014,  3.07E-013,  7.24E-013,  5.16E-014,  1.66E-013,  3.25E-013,  4.02E-014,  3.74E-013
SAO 130564,  ,         2445290.7,  3.76E-013,  4.93E-014,  2.65E-013,  1.75E-013,  1.94E-014,  1.21E-013,  5.76E-013,  4.36E-014,  1.94E-013,  5.08E-013,  3.42E-014,  1.02E-013
SAO 130564,  ,         2445291.8,  2.65E-013,  4.40E-014,  2.60E-013,  8.33E-014,  1.69E-014,  1.91E-013,  4.91E-013,  3.53E-014,  1.51E-013,  3.26E-013,  2.39E-014,  1.06E-013
SAO 130564,  ,         2445292.7,  2.66E-013,  4.00E-014,  2.20E-013,  9.31E-014,  1.45E-014,  1.58E-013,  6.50E-013,  4.12E-014,  1.24E-013,  3.91E-013,  3.04E-014,  1.89E-013
SAO 130564,  ,         2445292.8,  3.02E-013,  4.96E-014,  3.05E-013,  -3.47E-014,  1.45E-014,  2.30E-013,  6.28E-013,  4.23E-014,  1.23E-013,  3.37E-013,  3.04E-014,  2.04E-013
EPS ERI ,  ,         2445293.9,  3.32E-013,  5.83E-014,  3.53E-013,  5.43E-014,  1.58E-014,  1.92E-013,  6.45E-013,  4.20E-014,  1.31E-013,  2.95E-013,  2.60E-014,  1.83E-013
HD 22049,  ,         2445668.7,  1.79E-013,  4.02E-014,  2.62E-013,  3.41E-014,  1.68E-014,  2.06E-013,  7.49E-013,  4.87E-014,  1.36E-013,  3.86E-013,  3.43E-014,  2.40E-013
HD 22049,  ,         2445668.8,  1.53E-013,  5.55E-014,  3.61E-013,  2.22E-013,  3.45E-014,  3.03E-013,  6.36E-013,  4.99E-014,  1.51E-013,  3.72E-013,  2.68E-014,  4.01E-014
HD 22049,  ,         2445668.8,  6.13E-013,  7.34E-014,  1.37E-013,  1.43E-013,  2.38E-014,  1.50E-013,  7.17E-013,  5.02E-014,  8.32E-014,  2.97E-013,  3.00E-014,  1.70E-013
HD 22049,  ,         2445668.9,  2.49E-013,  5.62E-014,  4.38E-013,  1.87E-013,  2.70E-014,  2.53E-013,  4.05E-013,  3.42E-014,  1.89E-013,  4.58E-013,  3.86E-014,  2.42E-013
HD 22049,  ,         2445669.0,  6.02E-013,  6.43E-014,  2.74E-013,  1.67E-013,  2.03E-014,  1.53E-013,  6.56E-013,  4.39E-014,  1.35E-013,  5.12E-013,  3.75E-014,  1.76E-013
SAO 130564,  ,         2445713.5,  2.01E-013,  3.02E-014,  2.00E-013,  1.51E-013,  1.84E-014,  1.68E-013,  7.01E-013,  4.50E-014,  1.34E-013,  4.33E-013,  3.23E-014,  1.79E-013
E ERI   ,  ,         2445714.6,  1.78E-013,  2.89E-014,  1.82E-013,  1.47E-013,  1.94E-014,  1.92E-013,  6.79E-013,  4.32E-014,  1.34E-013,  4.55E-013,  3.48E-014,  2.09E-013
E ERI   ,  ,         2445715.6,  1.68E-013,  3.04E-014,  2.28E-013,  1.41E-013,  1.83E-014,  1.74E-013,  8.04E-013,  4.97E-014,  1.19E-013,  4.26E-013,  3.25E-014,  1.90E-013
E ERI   ,  ,         2445716.5,  2.08E-013,  3.21E-014,  2.07E-013,  1.89E-013,  1.97E-014,  1.58E-013,  7.99E-013,  5.13E-014,  1.53E-013,  4.55E-013,  3.24E-014,  1.62E-013
SAO 130564,  ,         2445717.5,  2.78E-013,  3.66E-014,  2.29E-013,  1.50E-013,  1.98E-014,  1.98E-013,  7.76E-013,  4.93E-014,  1.53E-013,  4.59E-013,  3.41E-014,  1.91E-013
