Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
BD +26 730,  ,         2444611.5,  5.79E-014,  1.06E-014,  1.34E-014,  1.63E-013,  1.06E-014,  8.30E-015,  2.83E-013,  1.87E-014,  4.71E-014,  1.53E-013,  1.01E-014,  2.00E-014
BD +26 730,  ,         2447462.4,  6.93E-014,  1.12E-014,  4.76E-014,  1.66E-013,  1.08E-014,  2.68E-014,  2.54E-013,  1.52E-014,  2.51E-014,  1.05E-013,  6.87E-015,  1.63E-014
BD +26 730,  ,         2447462.5,  1.35E-013,  1.56E-014,  5.15E-014,  1.58E-013,  1.29E-014,  7.52E-014,  3.99E-013,  2.31E-014,  2.99E-014,  2.56E-013,  1.59E-014,  4.58E-014
BD +26 730,  ,         2447463.4,  1.47E-013,  1.51E-014,  2.20E-014,  1.44E-013,  9.18E-015,  1.74E-014,  2.96E-013,  1.59E-014,  -7.37E-016,  1.61E-013,  8.20E-015,  -1.17E-014
BD +26 730,  ,         2447463.5,  6.48E-014,  1.39E-014,  7.77E-014,  1.24E-013,  9.68E-015,  4.87E-014,  2.73E-013,  1.55E-014,  1.44E-014,  1.26E-013,  6.86E-015,  -1.39E-015
BD +26 730,  ,         2447466.4,  1.29E-013,  1.64E-014,  4.26E-014,  9.84E-014,  8.70E-015,  5.23E-014,  2.48E-013,  1.47E-014,  2.03E-014,  8.39E-014,  6.04E-015,  2.14E-014
BD +26 730,  ,         2447468.3,  6.29E-014,  1.75E-014,  9.45E-014,  1.26E-013,  9.62E-015,  4.42E-014,  2.83E-013,  1.62E-014,  1.66E-014,  6.30E-014,  5.81E-015,  3.92E-014
BD +26 730,  ,         2448497.6,  8.73E-014,  1.27E-014,  4.30E-014,  9.62E-014,  8.27E-015,  4.74E-014,  3.09E-013,  1.72E-014,  1.31E-014,  1.33E-013,  7.98E-015,  1.24E-014
BD +26 730,  ,         2448497.7,  1.12E-013,  1.29E-014,  4.31E-014,  1.48E-013,  1.01E-014,  3.29E-014,  2.70E-013,  1.58E-014,  2.44E-014,  1.13E-013,  7.88E-015,  3.20E-014
BD +26 730,  ,         2448661.4,  1.21E-013,  1.74E-014,  6.52E-014,  1.14E-013,  9.82E-015,  5.01E-014,  2.17E-013,  1.40E-014,  1.22E-014,  7.23E-014,  5.37E-015,  1.59E-014
