Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 17925,  ,         2444892.9,  4.57E-014,  1.04E-014,  5.81E-014,  1.76E-014,  3.22E-015,  2.64E-014,  1.02E-013,  7.14E-015,  2.15E-014,  4.26E-014,  5.81E-015,  5.75E-014
HD 17925,  ,         2444906.4,  9.03E-014,  1.53E-014,  8.46E-014,  2.96E-014,  4.71E-015,  4.42E-014,  1.16E-013,  8.27E-015,  2.92E-014,  1.72E-013,  1.05E-014,  2.32E-014
HD 17925,  ,         2446422.3,  8.62E-014,  1.06E-014,  3.68E-014,  5.47E-014,  5.54E-015,  3.24E-014,  1.40E-013,  9.49E-015,  2.66E-014,  1.36E-013,  9.31E-015,  3.37E-014
HD 17925,  ,         2448237.7,  6.13E-014,  1.40E-014,  7.52E-014,  3.23E-014,  4.67E-015,  3.78E-014,  1.30E-013,  8.35E-015,  1.67E-014,  1.01E-013,  6.26E-015,  8.33E-015
HD 17925,  ,         2448281.2,  6.65E-014,  1.36E-014,  1.58E-014,  2.53E-014,  4.96E-015,  4.57E-014,  1.37E-013,  8.13E-015,  2.49E-015,  1.08E-013,  6.90E-015,  1.29E-014
HD 17925,  ,         2449689.2,  7.59E-014,  1.29E-014,  5.98E-014,  3.53E-014,  4.63E-015,  3.42E-014,  1.77E-013,  1.03E-014,  8.96E-015,  1.25E-013,  7.58E-015,  9.59E-015
HD 17925,  ,         2449689.4,  8.04E-014,  1.07E-014,  2.89E-014,  4.99E-014,  4.51E-015,  2.05E-014,  1.43E-013,  9.79E-015,  3.40E-014,  1.06E-013,  7.94E-015,  3.65E-014
HD 17925,  ,         2449690.2,  8.11E-014,  1.28E-014,  3.92E-014,  7.16E-015,  4.84E-015,  6.54E-014,  1.30E-013,  9.37E-015,  3.56E-014,  8.04E-014,  8.35E-015,  6.90E-014
HD 17925,  ,         2449690.4,  4.43E-014,  9.84E-015,  5.04E-014,  4.77E-014,  4.76E-015,  2.59E-014,  1.84E-013,  1.03E-014,  1.34E-015,  1.27E-013,  7.78E-015,  1.12E-014
HD 17925,  ,         2449693.2,  7.78E-014,  1.17E-014,  4.41E-014,  3.20E-014,  5.46E-015,  5.52E-014,  1.52E-013,  1.03E-014,  3.25E-014,  1.12E-013,  8.43E-015,  4.11E-014
HD 17925,  ,         2449693.4,  4.88E-014,  1.05E-014,  4.54E-014,  2.01E-014,  3.87E-015,  3.58E-014,  1.50E-013,  9.77E-015,  2.61E-014,  1.61E-013,  9.66E-015,  1.67E-014
HD 17925,  ,         2449695.2,  2.52E-014,  9.92E-015,  4.21E-014,  2.87E-014,  5.02E-015,  4.51E-014,  1.24E-013,  7.81E-015,  8.70E-015,  7.50E-014,  5.59E-015,  1.75E-014
HD 17925,  ,         2449695.4,  8.14E-014,  1.22E-014,  2.56E-014,  4.66E-014,  4.88E-015,  2.57E-014,  1.37E-013,  9.17E-015,  2.47E-014,  9.60E-014,  8.00E-015,  4.55E-014
