Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 21242,  ,         2443736.1,  1.83E-013,  4.19E-014,  2.33E-013,  5.26E-013,  3.11E-014,  -3.22E-014,  9.62E-013,  5.66E-014,  3.65E-014,  3.92E-013,  3.38E-014,  1.79E-013
HD 21242,  ,         2443739.9,  2.35E-013,  2.82E-014,  1.48E-013,  3.72E-013,  2.80E-014,  1.37E-013,  6.93E-013,  4.51E-014,  1.44E-013,  3.62E-013,  2.75E-014,  1.51E-013
HD 21242,  ,         2443742.0,  2.29E-013,  3.15E-014,  1.86E-013,  4.85E-013,  3.03E-014,  5.62E-014,  8.32E-013,  5.34E-014,  1.49E-013,  4.99E-013,  3.45E-014,  1.44E-013
HD 21242,  ,         2443743.9,  3.31E-013,  3.79E-014,  1.97E-013,  5.95E-013,  3.57E-014,  5.09E-014,  1.08E-012,  6.75E-014,  1.53E-013,  5.31E-013,  3.45E-014,  1.11E-013
HD 21242,  ,         2443874.6,  7.08E-013,  1.26E-013,  8.77E-013,  1.68E-012,  1.18E-013,  4.60E-013,  1.86E-012,  1.38E-013,  4.19E-013,  2.68E-012,  1.68E-013,  5.22E-013
HD 21242,  ,         2443882.8,  4.80E-013,  6.48E-014,  3.22E-013,  7.73E-013,  4.94E-014,  6.20E-014,  9.19E-013,  6.78E-014,  2.72E-013,  8.94E-013,  5.22E-014,  1.84E-014
HD 21242,  ,         2444207.2,  4.03E-013,  5.07E-014,  3.11E-013,  5.62E-013,  3.90E-014,  1.70E-013,  1.14E-012,  7.15E-014,  2.12E-013,  6.24E-013,  3.99E-014,  1.46E-013
HD 21242,  ,         2444216.0,  5.21E-013,  5.68E-014,  2.53E-013,  6.29E-013,  3.88E-014,  9.80E-014,  8.30E-013,  4.98E-014,  1.17E-013,  5.40E-013,  3.43E-014,  1.20E-013
HD 21242,  ,         2444225.4,  2.20E-013,  2.64E-014,  1.65E-013,  4.54E-013,  3.07E-014,  1.26E-013,  6.23E-013,  4.09E-014,  1.26E-013,  4.39E-013,  2.76E-014,  9.52E-014
HD 21242,  ,         2444693.4,  2.17E-013,  4.94E-014,  4.01E-013,  5.59E-013,  4.14E-014,  1.88E-013,  1.01E-012,  6.37E-014,  1.91E-013,  7.62E-013,  4.75E-014,  1.37E-013
UX ARI  ,  ,         2446334.7,  1.34E-013,  4.71E-014,  1.44E-013,  4.67E-013,  3.37E-014,  1.52E-014,  8.83E-013,  5.89E-014,  4.68E-014,  6.35E-014,  1.36E-014,  5.34E-014
UX ARI  ,  ,         2446334.7,  3.30E-013,  5.51E-014,  9.83E-014,  3.45E-013,  4.52E-014,  3.37E-013,  7.17E-013,  5.49E-014,  1.58E-013,  -2.25E-013,  2.43E-014,  4.90E-013
UX ARI  ,  ,         2446334.8,  2.47E-013,  5.30E-014,  1.35E-013,  1.82E-013,  2.36E-014,  1.12E-013,  6.60E-013,  5.02E-014,  1.10E-013,  1.59E-013,  1.64E-014,  2.92E-014
UX ARI  ,  ,         2446334.9,  2.87E-013,  7.31E-014,  1.95E-013,  3.99E-013,  3.34E-014,  -8.65E-014,  7.48E-013,  5.88E-014,  1.00E-013,  -4.15E-013,  8.68E-015,  3.11E-013
UX ARI  ,  ,         2446334.9,  1.38E-012,  2.70E-013,  -2.03E-013,  7.57E-013,  1.38E-013,  5.07E-013,  -1.74E-014,  1.03E-013,  8.69E-013,  -1.38E-012,  7.53E-014,  1.75E-012
UX ARI  ,  ,         2446335.0,  1.13E-014,  1.72E-013,  5.01E-013,  1.05E-012,  1.11E-013,  1.84E-013,  -5.65E-013,  2.03E-014,  1.59E-013,  1.29E-013,  5.31E-014,  1.47E-013
UX ARI  ,  ,         2446801.5,  4.84E-013,  5.96E-014,  2.86E-013,  8.08E-013,  5.78E-014,  2.16E-013,  1.30E-012,  7.50E-014,  9.14E-014,  1.18E-012,  7.21E-014,  1.88E-013
UX ARI  ,  ,         2446801.6,  5.51E-013,  7.26E-014,  4.59E-013,  1.05E-012,  8.00E-014,  4.11E-013,  1.94E-012,  1.14E-013,  2.18E-013,  1.63E-012,  1.08E-013,  4.45E-013
UX ARI  ,  ,         2446801.6,  2.24E-013,  6.28E-014,  3.48E-013,  4.34E-013,  5.02E-014,  3.88E-013,  1.32E-012,  8.44E-014,  1.40E-013,  7.58E-013,  5.44E-014,  2.09E-013
UX ARI  ,  ,         2446801.7,  7.60E-013,  9.39E-014,  4.66E-013,  1.33E-012,  9.64E-014,  4.30E-013,  1.83E-012,  1.11E-013,  2.40E-013,  1.93E-012,  1.23E-013,  4.17E-013
UX ARI  ,  ,         2446801.8,  3.37E-013,  7.21E-014,  2.11E-013,  5.09E-013,  5.19E-014,  2.88E-013,  1.23E-012,  8.19E-014,  1.00E-013,  7.40E-013,  5.19E-014,  1.49E-013
HD 21242,  ,         2448116.5,  8.74E-014,  3.44E-014,  1.14E-013,  2.67E-013,  2.44E-014,  1.26E-013,  9.00E-013,  5.64E-014,  1.26E-013,  3.07E-013,  2.17E-014,  6.64E-014
HD 21242,  ,         2448118.1,  1.58E-013,  3.90E-014,  2.39E-013,  4.45E-013,  3.21E-014,  1.11E-013,  1.26E-012,  7.85E-014,  1.85E-013,  5.67E-013,  3.77E-014,  1.26E-013
HD 21242,  ,         2448119.9,  1.68E-013,  3.36E-014,  2.02E-013,  3.60E-013,  3.01E-014,  1.69E-013,  6.08E-013,  3.88E-014,  9.12E-014,  2.98E-013,  2.14E-014,  8.95E-014
HD 21242,  ,         2448121.1,  7.78E-014,  4.98E-014,  3.97E-013,  5.38E-013,  4.15E-014,  1.83E-013,  8.90E-013,  5.26E-014,  4.70E-014,  8.53E-013,  4.48E-014,  -3.61E-014
HD 21242,  ,         2448505.9,  -1.26E-013,  6.06E-014,  4.05E-013,  2.08E-013,  2.49E-014,  1.71E-013,  6.07E-013,  4.25E-014,  1.16E-013,  3.74E-013,  2.47E-014,  1.88E-014
HD 21242,  ,         2448507.9,  2.36E-013,  7.66E-014,  5.53E-013,  7.33E-013,  5.25E-014,  1.91E-013,  1.37E-012,  7.88E-014,  6.82E-014,  7.24E-013,  4.67E-014,  1.19E-013
HD 21242,  ,         2448508.9,  3.51E-013,  4.20E-014,  8.52E-014,  4.48E-013,  3.16E-014,  9.47E-014,  5.86E-013,  3.89E-014,  1.10E-013,  3.20E-013,  2.41E-014,  9.32E-014
UX ARI  ,  ,         2448509.9,  1.41E-013,  3.17E-014,  2.05E-013,  4.03E-013,  2.85E-014,  1.02E-013,  7.60E-013,  4.72E-014,  1.17E-013,  3.54E-013,  2.57E-014,  1.15E-013
HD 21242,  ,         2448511.9,  3.71E-014,  3.63E-014,  2.83E-013,  3.78E-013,  2.86E-014,  1.15E-013,  8.20E-013,  4.82E-014,  5.76E-014,  2.78E-013,  2.30E-014,  1.30E-013
HD 21242,  ,         2448513.9,  1.99E-013,  7.03E-014,  5.40E-013,  4.72E-013,  4.70E-014,  3.48E-013,  1.32E-012,  8.23E-014,  1.69E-013,  7.20E-013,  4.96E-014,  1.92E-013
HD 21242,  ,         2449585.1,  1.43E-013,  5.12E-014,  2.02E-013,  4.31E-013,  3.66E-014,  1.46E-013,  8.11E-013,  5.30E-014,  1.19E-013,  2.11E-013,  2.40E-014,  1.72E-013
HD 21242,  ,         2449585.2,  2.77E-013,  5.12E-014,  1.23E-013,  4.58E-013,  3.73E-014,  1.33E-013,  1.00E-012,  5.68E-014,  1.17E-014,  4.61E-013,  3.27E-014,  9.87E-014
HD 21242,  ,         2449586.0,  1.22E-013,  5.26E-014,  2.03E-013,  4.09E-013,  3.13E-014,  5.53E-014,  7.66E-013,  5.14E-014,  1.24E-013,  8.46E-013,  5.64E-014,  1.59E-013
HD 21242,  ,         2449586.0,  3.61E-013,  6.23E-014,  1.47E-013,  5.44E-013,  4.57E-014,  1.98E-013,  1.34E-012,  8.22E-014,  1.41E-013,  1.48E-012,  9.26E-014,  2.54E-013
HD 21242,  ,         2449586.9,  2.62E-013,  4.90E-014,  4.31E-014,  2.73E-013,  2.41E-014,  6.24E-014,  5.91E-013,  4.28E-014,  1.36E-013,  3.50E-013,  2.59E-014,  7.20E-014
HD 21242,  ,         2449586.9,  2.78E-013,  5.06E-014,  3.92E-014,  2.17E-013,  3.02E-014,  2.11E-013,  7.05E-013,  4.13E-014,  -7.82E-015,  4.36E-013,  2.73E-014,  8.61E-015
HD 21242,  ,         2449587.9,  8.44E-014,  4.02E-014,  1.90E-013,  4.24E-013,  3.26E-014,  7.95E-014,  6.71E-013,  3.87E-014,  -1.56E-014,  3.71E-013,  2.78E-014,  9.07E-014
HD 21242,  ,         2449587.9,  2.12E-013,  4.28E-014,  1.05E-013,  5.59E-013,  4.16E-014,  1.13E-013,  8.79E-013,  4.42E-014,  -1.19E-013,  4.26E-013,  3.37E-014,  1.52E-013
HD 21242,  ,         2449592.9,  9.68E-014,  4.73E-014,  1.62E-013,  2.78E-013,  2.74E-014,  1.18E-013,  4.05E-013,  3.01E-014,  6.10E-014,  3.07E-013,  2.31E-014,  6.26E-014
HD 21242,  ,         2449592.9,  4.65E-014,  4.38E-014,  1.52E-013,  1.58E-013,  2.09E-014,  1.09E-013,  4.72E-013,  3.21E-014,  3.35E-014,  2.10E-013,  1.79E-014,  4.82E-014
HD 21242,  ,         2449593.9,  2.15E-014,  4.32E-014,  2.31E-013,  3.17E-013,  3.07E-014,  1.44E-013,  5.88E-013,  4.21E-014,  1.30E-013,  2.57E-013,  2.38E-014,  1.26E-013
HD 21242,  ,         2449593.9,  1.21E-013,  4.55E-014,  1.67E-013,  2.00E-013,  2.46E-014,  1.37E-013,  4.80E-013,  3.98E-014,  1.87E-013,  2.30E-013,  2.13E-014,  1.02E-013
HD 21242,  ,         2449595.0,  1.52E-013,  4.05E-014,  9.62E-014,  4.86E-013,  4.03E-014,  1.62E-013,  9.52E-013,  5.76E-014,  3.58E-014,  4.88E-013,  3.23E-014,  6.34E-014
HD 21242,  ,         2449597.0,  3.31E-013,  5.84E-014,  2.46E-013,  5.83E-013,  4.76E-014,  2.08E-013,  1.76E-012,  9.34E-014,  -6.39E-014,  5.59E-013,  4.09E-014,  1.57E-013
HD 21242,  ,         2449597.1,  1.65E-013,  6.46E-014,  3.89E-013,  4.05E-013,  3.63E-014,  1.65E-013,  1.39E-012,  8.02E-014,  6.22E-014,  5.78E-013,  4.05E-014,  1.30E-013
HD 21242,  ,         2449598.1,  3.72E-013,  6.05E-014,  1.87E-013,  5.26E-013,  4.27E-014,  1.73E-013,  1.25E-012,  7.19E-014,  4.77E-014,  2.60E-013,  2.80E-014,  2.02E-013
HD 21242,  ,         2449598.1,  3.07E-013,  6.70E-014,  1.70E-013,  3.71E-013,  4.04E-014,  2.02E-013,  9.35E-013,  6.64E-014,  2.04E-013,  2.48E-013,  3.10E-014,  2.41E-013
HD 21242,  ,         2449599.1,  9.67E-014,  4.60E-014,  1.48E-013,  2.07E-013,  2.60E-014,  1.65E-013,  1.01E-012,  6.06E-014,  4.24E-014,  2.77E-013,  2.73E-014,  1.71E-013
HD 21242,  ,         2449599.1,  1.63E-013,  5.26E-014,  2.53E-013,  4.09E-013,  3.58E-014,  1.51E-013,  1.22E-012,  7.10E-014,  6.23E-014,  4.47E-013,  3.28E-014,  1.16E-013
HD 21242,  ,         2449600.1,  4.74E-014,  4.09E-014,  2.27E-013,  4.82E-013,  3.78E-014,  1.18E-013,  8.72E-013,  5.48E-014,  8.14E-014,  2.63E-013,  2.74E-014,  1.88E-013
HD 21242,  ,         2449600.1,  3.05E-013,  4.89E-014,  1.13E-013,  4.67E-013,  4.27E-014,  2.27E-013,  8.83E-013,  6.05E-014,  1.97E-013,  3.83E-013,  3.38E-014,  1.92E-013
HD 21242,  ,         2449601.1,  2.91E-013,  4.93E-014,  1.41E-013,  4.07E-013,  3.93E-014,  2.23E-013,  8.07E-013,  5.04E-014,  6.95E-014,  4.00E-013,  3.25E-014,  1.54E-013
HD 21242,  ,         2449601.1,  3.05E-013,  5.15E-014,  1.54E-013,  5.04E-013,  4.38E-014,  2.17E-013,  8.17E-013,  5.41E-014,  1.45E-013,  3.54E-013,  3.23E-014,  1.87E-013
HD 21242,  ,         2449602.1,  4.09E-013,  5.61E-014,  1.46E-013,  4.67E-013,  3.99E-014,  1.80E-013,  8.61E-013,  5.62E-014,  1.38E-013,  2.89E-013,  2.90E-014,  1.93E-013
HD 21242,  ,         2449602.1,  2.51E-013,  5.02E-014,  1.90E-013,  2.87E-013,  3.33E-014,  2.27E-013,  1.19E-012,  6.50E-014,  -3.01E-014,  4.48E-013,  3.41E-014,  1.37E-013
HD 21242,  ,         2449602.9,  4.20E-013,  5.10E-014,  6.61E-014,  4.49E-013,  3.75E-014,  1.44E-013,  1.25E-012,  7.70E-014,  1.57E-013,  1.06E-012,  6.72E-014,  1.83E-013
HD 21242,  ,         2449602.9,  2.57E-013,  5.43E-014,  1.34E-013,  5.15E-013,  3.57E-014,  4.15E-014,  8.46E-013,  5.47E-014,  8.12E-014,  5.39E-013,  3.51E-014,  6.28E-014
HD 21242,  ,         2449604.1,  9.73E-014,  4.65E-014,  1.19E-013,  2.01E-013,  2.65E-014,  1.79E-013,  4.72E-013,  3.85E-014,  1.83E-013,  3.13E-013,  2.21E-014,  3.44E-014
HD 21242,  ,         2449605.1,  2.25E-013,  4.87E-014,  1.58E-013,  3.24E-013,  3.45E-014,  2.12E-013,  6.46E-013,  4.86E-014,  1.51E-013,  2.79E-013,  3.14E-014,  2.46E-013
HD 21242,  ,         2449606.1,  1.43E-013,  4.72E-014,  1.10E-013,  3.15E-013,  2.95E-014,  1.26E-013,  7.14E-013,  4.45E-014,  4.54E-014,  4.17E-013,  2.99E-014,  8.10E-014
