Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
GJ551                         ,  ,         51672.040,  1.52E-014,  2.22E-015,  7.80E-016,  3.65E-014,  2.19E-015,  1.69E-015,  4.24E-014,  2.57E-015,  9.84E-016,  2.90E-014,  1.76E-015,  3.55E-015
GJ551                         ,  ,         51672.093,  8.81E-015,  1.66E-015,  1.61E-015,  3.24E-014,  1.91E-015,  8.95E-016,  2.60E-014,  1.66E-015,  5.19E-016,  1.82E-014,  1.15E-015,  2.17E-015
GJ551                         ,  ,         51672.160,  6.28E-015,  1.61E-015,  1.73E-015,  2.83E-014,  1.76E-015,  1.62E-015,  2.67E-014,  1.70E-015,  2.11E-016,  1.81E-014,  1.13E-015,  1.62E-015
GJ551                         ,  ,         51672.227,  9.68E-015,  1.73E-015,  1.36E-015,  2.62E-014,  1.69E-015,  2.16E-015,  2.75E-014,  1.75E-015,  9.38E-017,  2.01E-014,  1.24E-015,  1.61E-015
GJ551                         ,  ,         51673.002,  5.26E-015,  1.69E-015,  2.15E-015,  3.69E-014,  2.23E-015,  2.78E-015,  3.14E-014,  1.94E-015,  8.07E-016,  2.09E-014,  1.25E-015,  2.32E-015
GJ551                         ,  ,         51673.055,  4.16E-014,  3.81E-015,  3.37E-015,  8.69E-014,  5.11E-015,  8.71E-015,  8.30E-014,  4.71E-015,  1.94E-015,  8.61E-014,  4.83E-015,  7.49E-015
GJ551                         ,  ,         51673.189,  1.46E-014,  2.11E-015,  1.55E-016,  4.43E-014,  2.73E-015,  4.55E-015,  4.09E-014,  2.53E-015,  1.77E-015,  2.96E-014,  1.75E-015,  2.45E-015
V-V645-CEN                     ,  ,         57904.889,  2.13E-014,  3.25E-015,  2.19E-015,  5.34E-014,  3.29E-015,  4.83E-015,  5.94E-014,  3.51E-015,  3.80E-016,  3.38E-014,  1.90E-015,  1.46E-015
V-V645-CEN                     ,  ,         57904.939,  8.59E-014,  7.08E-015,  5.74E-015,  1.43E-013,  8.31E-015,  1.27E-014,  1.46E-013,  8.09E-015,  1.05E-015,  1.78E-013,  9.58E-015,  8.63E-015
V-V645-CEN                     ,  ,         57905.005,  2.17E-014,  3.45E-015,  3.43E-015,  9.29E-014,  5.50E-015,  7.38E-015,  9.11E-014,  5.26E-015,  6.34E-016,  5.61E-014,  3.44E-015,  8.23E-015
