Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
SAO 81292,  ,         2445139.2,  -8.66E-014,  6.08E-014,  1.73E-013,  1.59E-013,  2.36E-014,  -4.33E-014,  6.04E-013,  4.69E-014,  1.09E-014,  3.44E-013,  3.03E-014,  -1.28E-014
AD LEO  ,  ,         2445139.3,  7.76E-014,  7.16E-014,  5.60E-014,  -2.67E-013,  9.01E-015,  2.39E-014,  1.13E-013,  3.01E-014,  1.07E-013,  5.70E-013,  5.10E-014,  1.21E-013
AD LEO  ,  ,         2445139.3,  -4.11E-014,  5.21E-014,  1.08E-013,  -3.83E-014,  1.03E-014,  -7.50E-014,  3.63E-013,  3.04E-014,  -4.05E-014,  -3.26E-014,  1.32E-014,  5.16E-014
AD LEO  ,  ,         2445139.4,  7.12E-014,  2.18E-014,  4.36E-014,  -6.10E-014,  6.39E-015,  8.82E-014,  1.78E-013,  1.40E-014,  1.36E-014,  1.30E-013,  1.18E-014,  2.98E-014
AD LEO  ,  ,         2445367.8,  3.02E-013,  3.97E-014,  2.38E-014,  3.00E-015,  1.14E-014,  8.56E-014,  2.42E-013,  2.00E-014,  8.46E-015,  -5.29E-014,  1.64E-014,  2.71E-013
AD LEO  ,  ,         2445370.1,  4.65E-013,  6.31E-014,  1.25E-013,  5.43E-014,  9.91E-015,  1.10E-014,  5.08E-015,  1.34E-014,  1.09E-013,  -6.15E-015,  1.31E-014,  1.50E-013
AD LEO  ,  ,         2445370.6,  2.96E-013,  3.99E-014,  8.76E-014,  1.42E-014,  7.95E-015,  4.86E-014,  2.09E-013,  1.77E-014,  4.94E-014,  1.26E-013,  1.22E-014,  5.79E-014
AD LEO  ,  ,         2445370.7,  2.62E-013,  4.32E-014,  1.36E-013,  8.44E-014,  1.19E-014,  4.30E-014,  1.38E-013,  1.38E-014,  3.61E-014,  4.07E-013,  2.22E-014,  -3.74E-014
AD LEO  ,  ,         2445434.3,  -2.05E-013,  4.79E-014,  3.13E-013,  5.21E-014,  1.05E-014,  -6.41E-014,  2.79E-013,  1.92E-014,  -8.34E-014,  5.77E-013,  2.52E-014,  -2.35E-013
AD LEO  ,  ,         2445477.2,  4.87E-014,  2.08E-014,  1.08E-013,  7.73E-014,  8.85E-015,  3.34E-014,  1.62E-013,  1.25E-014,  3.13E-014,  2.58E-013,  1.67E-014,  2.73E-014
AD LEO  ,  ,         2445477.2,  5.91E-014,  1.75E-014,  5.39E-014,  1.07E-013,  1.05E-014,  4.26E-014,  2.25E-013,  1.22E-014,  -3.14E-014,  1.95E-013,  1.03E-014,  -3.09E-014
AD LEO  ,  ,         2445634.0,  1.74E-013,  2.26E-014,  -4.09E-014,  1.72E-013,  1.18E-014,  -4.85E-014,  2.34E-013,  1.86E-014,  4.53E-014,  2.67E-013,  1.97E-014,  4.72E-014
AD LEO  ,  ,         2445634.1,  7.60E-015,  2.82E-014,  9.70E-015,  9.51E-014,  1.05E-014,  -3.95E-014,  4.18E-014,  8.13E-015,  7.22E-015,  4.65E-014,  8.84E-015,  3.79E-014
AD LEO  ,  ,         2445785.5,  3.17E-013,  4.80E-014,  9.35E-014,  1.16E-013,  1.76E-014,  4.11E-014,  1.97E-013,  1.38E-014,  -9.06E-014,  3.43E-014,  8.32E-015,  -1.42E-014
AD LEO  ,  ,         2445785.6,  6.53E-014,  2.17E-014,  5.73E-014,  1.39E-013,  1.15E-014,  -4.81E-015,  1.30E-013,  7.29E-015,  -6.20E-014,  2.28E-013,  4.56E-015,  -2.02E-013
ADLEO   ,  ,         2445785.6,  2.29E-013,  2.98E-014,  -3.64E-014,  7.73E-014,  1.47E-014,  9.86E-014,  2.54E-013,  1.66E-014,  -2.72E-014,  1.55E-013,  1.37E-014,  4.34E-014
AD LEO  ,  ,         2445786.3,  3.91E-013,  5.21E-014,  9.56E-014,  7.72E-014,  1.19E-014,  3.66E-014,  1.75E-013,  1.10E-014,  -6.32E-014,  2.65E-013,  1.06E-014,  -1.50E-013
AD LEO  ,  ,         2445786.5,  5.58E-014,  3.30E-014,  9.70E-014,  7.19E-014,  1.22E-014,  1.21E-014,  1.01E-013,  1.13E-014,  -1.58E-014,  1.84E-013,  3.72E-015,  -2.30E-013
AD LEO  ,  ,         2445786.6,  2.38E-014,  2.87E-014,  1.30E-013,  1.26E-014,  1.21E-014,  1.09E-013,  1.60E-013,  1.60E-014,  4.42E-014,  2.16E-013,  1.40E-014,  -1.60E-014
AD LEO  ,  ,         2445787.5,  -1.99E-013,  4.91E-014,  2.29E-013,  9.88E-014,  1.62E-014,  4.96E-014,  3.97E-013,  2.31E-014,  -8.35E-014,  3.46E-013,  2.47E-014,  2.21E-014
AD LEO  ,  ,         2445787.6,  2.01E-013,  2.61E-014,  1.87E-014,  1.14E-013,  1.22E-014,  4.72E-014,  2.11E-013,  1.21E-014,  -4.47E-014,  2.89E-013,  1.87E-014,  3.11E-014
AD LEO  ,  ,         2445788.3,  1.81E-013,  4.36E-014,  5.17E-014,  9.37E-014,  1.03E-014,  2.11E-015,  1.85E-013,  1.25E-014,  -1.88E-014,  7.78E-014,  8.14E-015,  1.55E-014
ADLEO   ,  ,         2445810.6,  5.25E-014,  1.91E-014,  1.22E-013,  1.28E-013,  1.22E-014,  4.40E-014,  1.20E-013,  9.06E-015,  1.19E-015,  1.09E-013,  7.72E-015,  2.89E-015
ADLEO   ,  ,         2445810.7,  2.38E-014,  1.68E-014,  1.08E-013,  8.95E-014,  6.14E-015,  -3.55E-014,  1.25E-013,  1.05E-014,  2.33E-014,  2.52E-013,  1.41E-014,  -1.30E-014
ADLEO   ,  ,         2445810.8,  8.90E-014,  1.86E-014,  8.52E-014,  8.91E-014,  9.65E-015,  3.96E-014,  1.38E-013,  1.02E-014,  1.25E-014,  1.75E-013,  1.39E-014,  3.39E-014
ADLEO   ,  ,         2445811.6,  9.03E-014,  1.82E-014,  2.67E-014,  1.83E-014,  5.61E-015,  1.22E-014,  1.16E-013,  9.00E-015,  -3.10E-015,  9.93E-014,  8.17E-015,  1.34E-014
ADLEO   ,  ,         2445811.7,  1.80E-013,  1.98E-014,  -3.06E-016,  5.06E-014,  9.76E-015,  8.46E-014,  2.63E-013,  1.70E-014,  2.11E-014,  7.47E-014,  1.18E-014,  9.88E-014
ADLEO   ,  ,         2445811.8,  1.04E-013,  1.82E-014,  8.12E-014,  4.80E-014,  8.64E-015,  7.67E-014,  2.03E-013,  1.32E-014,  1.50E-014,  8.50E-014,  1.25E-014,  1.31E-013
AD LEO  ,  ,         2446011.8,  3.89E-013,  5.76E-014,  -1.81E-013,  -3.78E-014,  2.57E-014,  2.12E-013,  2.15E-013,  2.83E-014,  5.76E-014,  -3.45E-013,  1.01E-014,  2.91E-013
AD LEO  ,  ,         2446011.9,  1.87E-013,  5.13E-014,  7.14E-014,  1.97E-014,  2.68E-014,  2.45E-013,  2.49E-013,  2.06E-014,  -6.85E-014,  1.84E-013,  2.35E-014,  8.29E-014
AD LEO  ,  ,         2446012.9,  1.01E-013,  5.65E-014,  9.46E-014,  -4.82E-013,  9.40E-015,  3.36E-013,  2.07E-013,  3.79E-014,  2.60E-013,  -3.79E-013,  7.60E-015,  2.78E-013
AD LEO  ,  ,         2446013.8,  -4.12E-014,  5.68E-014,  1.62E-013,  3.09E-014,  1.17E-014,  -1.59E-013,  2.05E-013,  3.40E-014,  1.55E-013,  -2.97E-013,  7.35E-015,  1.68E-013
AD LEO  ,  ,         2446013.9,  1.73E-013,  4.60E-014,  9.34E-014,  7.96E-014,  1.98E-014,  9.27E-014,  2.57E-013,  1.49E-014,  -1.48E-013,  -2.83E-013,  -8.71E-015,  -5.68E-014
AD LEO  ,  ,         2446014.9,  -1.22E-013,  6.16E-014,  1.25E-013,  -2.67E-013,  2.05E-014,  2.06E-013,  2.84E-013,  4.15E-014,  1.57E-013,  -2.65E-014,  3.90E-014,  4.67E-013
AD LEO  ,  ,         2446014.9,  1.31E-013,  3.67E-014,  -2.34E-014,  -1.64E-014,  1.27E-014,  5.38E-014,  6.38E-014,  1.54E-014,  6.21E-014,  3.61E-013,  1.77E-014,  -1.64E-013
ADLEO   ,  ,         2446167.6,  2.04E-014,  1.14E-013,  1.75E-012,  -2.25E-013,  2.11E-013,  4.26E-012,  2.10E-012,  3.17E-013,  4.01E-012,  4.10E-012,  5.55E-013,  6.80E-012
ADLEO   ,  ,         2446168.6,  8.95E-014,  1.61E-014,  5.21E-014,  1.37E-013,  1.06E-014,  2.23E-014,  2.44E-013,  1.54E-014,  5.95E-015,  1.42E-013,  1.02E-014,  2.74E-014
AD LEO  ,  ,         2446420.7,  9.80E-015,  1.74E-014,  5.25E-014,  6.14E-015,  1.09E-014,  1.21E-013,  2.41E-013,  1.80E-014,  3.74E-014,  1.25E-013,  9.22E-015,  -7.15E-015
AD LEO  ,  ,         2446421.2,  1.47E-013,  1.81E-014,  5.34E-014,  1.32E-013,  1.09E-014,  5.82E-014,  2.49E-013,  1.49E-014,  2.22E-014,  2.43E-013,  1.44E-014,  2.57E-014
AD LEO  ,  ,         2446422.9,  7.20E-016,  4.48E-014,  7.67E-014,  1.01E-013,  1.28E-014,  1.90E-014,  1.51E-013,  1.32E-014,  1.46E-014,  9.91E-014,  9.52E-015,  6.73E-015
AD LEO  ,  ,         2446423.5,  1.15E-013,  1.78E-014,  4.01E-014,  7.15E-014,  6.61E-015,  2.71E-014,  1.74E-013,  1.08E-014,  7.71E-015,  1.25E-013,  9.57E-015,  4.03E-014
AD LEO  ,  ,         2446576.4,  1.05E-013,  3.29E-014,  1.82E-014,  1.02E-013,  1.78E-014,  1.16E-013,  1.92E-013,  1.31E-014,  -3.04E-014,  7.06E-014,  9.72E-015,  4.50E-014
AD LEO  ,  ,         2448384.7,  1.69E-013,  3.07E-014,  9.71E-014,  9.64E-014,  1.53E-014,  1.31E-013,  3.08E-013,  1.89E-014,  -2.97E-014,  2.22E-013,  1.08E-014,  -6.33E-014
AD LEO  ,  ,         2448384.8,  6.53E-014,  3.08E-014,  7.17E-014,  1.32E-013,  1.27E-014,  5.32E-014,  2.16E-014,  4.11E-015,  2.99E-015,  1.63E-014,  5.38E-015,  4.29E-014
AD LEO  ,  ,         2448384.8,  7.17E-014,  2.69E-014,  8.10E-014,  1.43E-014,  8.85E-015,  1.06E-013,  2.89E-014,  3.62E-015,  2.35E-015,  6.33E-014,  4.72E-015,  -3.00E-015
AD LEO  ,  ,         2448384.9,  1.81E-013,  3.81E-014,  1.97E-013,  1.88E-013,  1.19E-014,  6.31E-015,  2.10E-013,  1.31E-014,  1.46E-014,  1.70E-013,  9.89E-015,  -2.13E-015
AD LEO  ,  ,         2448385.1,  3.84E-014,  4.05E-014,  2.19E-013,  1.39E-013,  1.35E-014,  5.89E-014,  2.84E-013,  1.73E-014,  7.69E-015,  1.41E-013,  1.09E-014,  3.20E-014
AD LEO  ,  ,         2448385.2,  1.65E-013,  3.53E-014,  1.19E-013,  2.46E-013,  2.04E-014,  8.33E-014,  3.04E-013,  2.04E-014,  4.38E-014,  3.66E-013,  2.25E-014,  3.33E-014
AD LEO  ,  ,         2448385.2,  1.73E-013,  2.95E-014,  1.02E-013,  1.81E-013,  1.46E-014,  5.35E-014,  3.14E-013,  1.78E-014,  -7.18E-015,  2.63E-013,  1.75E-014,  4.65E-014
AD LEO  ,  ,         2448385.3,  6.35E-014,  3.46E-014,  1.46E-013,  1.76E-013,  2.74E-014,  2.27E-013,  2.65E-013,  1.62E-014,  -6.29E-014,  1.59E-013,  1.04E-014,  -5.79E-014
AD LEO  ,  ,         2448385.3,  1.40E-013,  2.69E-014,  1.13E-014,  9.72E-014,  1.45E-014,  8.49E-014,  2.59E-013,  1.88E-014,  7.56E-016,  2.83E-013,  1.56E-014,  -4.57E-014
AD LEO  ,  ,         2448385.4,  9.56E-014,  2.57E-014,  6.58E-014,  8.29E-014,  1.41E-014,  1.04E-013,  1.94E-013,  1.75E-014,  2.11E-014,  2.00E-013,  1.28E-014,  -7.97E-015
AD LEO  ,  ,         2448385.4,  1.56E-013,  3.03E-014,  6.74E-014,  1.18E-013,  1.22E-014,  3.02E-014,  2.39E-013,  1.49E-014,  -4.56E-014,  1.77E-013,  1.09E-014,  -2.42E-014
AD LEO  ,  ,         2448385.5,  2.32E-013,  3.68E-014,  4.39E-014,  1.95E-013,  2.10E-014,  1.03E-013,  3.37E-013,  2.39E-014,  -1.26E-014,  1.65E-013,  1.92E-014,  1.40E-013
AD LEO  ,  ,         2448385.6,  2.29E-013,  3.54E-014,  3.61E-014,  4.87E-014,  1.79E-014,  1.86E-013,  2.77E-013,  1.62E-014,  -9.55E-014,  1.51E-013,  1.34E-014,  3.91E-014
