Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD197481,  ,         2444123.3,  8.38E-014,  1.16E-014,  4.37E-014,  5.73E-014,  4.57E-015,  1.37E-014,  1.82E-013,  1.08E-014,  1.49E-014,  1.12E-013,  8.41E-015,  4.19E-014
AU MIC  ,  ,         2444124.5,  5.39E-014,  1.40E-014,  2.42E-014,  4.00E-014,  7.96E-015,  5.10E-014,  1.42E-013,  1.07E-014,  9.43E-015,  8.56E-014,  9.49E-015,  6.06E-014
AU MIC  ,  ,         2444124.6,  4.99E-014,  4.11E-014,  1.80E-013,  1.15E-013,  1.59E-014,  1.57E-014,  1.87E-013,  1.74E-014,  1.63E-014,  2.01E-013,  1.60E-014,  -1.13E-015
AU MIC  ,  ,         2444124.6,  1.05E-013,  1.74E-014,  -5.87E-016,  3.17E-014,  5.84E-015,  1.23E-014,  1.48E-013,  1.17E-014,  1.77E-014,  9.02E-014,  8.45E-015,  3.13E-014
AU MIC  ,  ,         2444124.7,  7.94E-014,  1.68E-014,  1.20E-014,  8.59E-014,  7.90E-015,  -2.43E-015,  1.95E-013,  1.27E-014,  -5.73E-015,  1.63E-013,  1.14E-014,  1.51E-014
AU MIC  ,  ,         2444124.7,  9.85E-014,  1.72E-014,  1.86E-014,  1.86E-014,  6.79E-015,  4.08E-014,  6.53E-014,  6.52E-015,  7.55E-015,  7.51E-014,  3.50E-015,  -5.30E-014
AU MIC  ,  ,         2444124.8,  2.11E-014,  1.68E-014,  6.22E-014,  7.73E-014,  6.83E-015,  -1.38E-014,  1.97E-013,  1.42E-014,  2.15E-014,  5.46E-014,  9.59E-015,  8.81E-014
AU MIC  ,  ,         2444124.8,  3.21E-014,  1.70E-014,  8.76E-014,  1.34E-013,  7.99E-015,  -4.76E-014,  1.62E-013,  1.32E-014,  3.65E-014,  7.47E-014,  7.14E-015,  2.33E-014
HD 197481,  ,         2444455.5,  2.96E-013,  3.72E-014,  8.98E-014,  5.29E-015,  2.58E-015,  -6.09E-015,  1.11E-013,  5.96E-015,  -4.69E-014,  1.61E-013,  9.10E-015,  -2.86E-014
HD 197481,  ,         2444455.7,  1.64E-013,  2.15E-014,  6.40E-014,  -5.66E-016,  2.10E-015,  2.03E-014,  5.47E-014,  3.66E-015,  -1.19E-015,  5.77E-014,  4.55E-015,  1.55E-014
HD 197481,  ,         2444455.8,  1.72E-013,  2.28E-014,  7.63E-014,  1.20E-014,  4.39E-015,  5.34E-014,  1.10E-013,  8.67E-015,  3.46E-014,  1.41E-013,  9.08E-015,  2.01E-014
HD 197481,  ,         2444456.0,  2.92E-013,  3.28E-014,  5.27E-014,  -1.12E-014,  2.88E-015,  4.10E-014,  8.75E-014,  4.98E-015,  -1.50E-014,  1.09E-013,  6.12E-015,  -9.20E-015
HD 197481,  ,         2444456.1,  3.44E-013,  4.02E-014,  7.17E-014,  -2.33E-015,  2.11E-015,  1.92E-014,  7.63E-014,  5.15E-015,  1.29E-015,  1.01E-014,  3.54E-015,  4.03E-014
HD 197481,  ,         2444456.6,  1.75E-013,  2.04E-014,  4.66E-014,  2.88E-015,  1.63E-015,  9.57E-015,  7.11E-014,  4.90E-015,  3.88E-015,  1.12E-013,  5.78E-015,  -1.31E-014
HD 197481,  ,         2444456.8,  3.89E-013,  4.56E-014,  1.03E-013,  2.22E-014,  4.64E-015,  3.07E-014,  1.79E-013,  1.36E-014,  4.15E-014,  2.46E-013,  1.26E-014,  -3.21E-014
