Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
EQ PEG  ,  ,         2443858.5,  6.79E-014,  9.97E-015,  3.03E-014,  5.04E-014,  4.96E-015,  2.46E-014,  8.85E-014,  6.87E-015,  2.21E-014,  9.93E-014,  7.11E-015,  2.38E-014
EQ PEG  ,  ,         2444849.8,  2.83E-013,  4.18E-014,  9.93E-014,  9.91E-014,  1.20E-014,  -1.05E-014,  1.47E-013,  1.05E-014,  -8.08E-014,  2.10E-013,  9.91E-015,  -1.09E-013
EQ PEG  ,  ,         2444849.9,  3.24E-013,  4.16E-014,  1.12E-013,  5.86E-014,  1.10E-014,  6.64E-014,  1.20E-013,  1.20E-014,  4.24E-014,  1.27E-013,  2.01E-014,  2.09E-013
EQ PEG  ,  ,         2444850.0,  3.75E-013,  5.04E-014,  1.81E-013,  1.10E-014,  6.76E-015,  2.28E-014,  1.90E-014,  7.77E-015,  5.25E-014,  -9.85E-014,  1.56E-014,  3.35E-013
EQ PEG  ,  ,         2444850.0,  1.15E-012,  1.45E-013,  3.54E-013,  2.29E-014,  1.33E-014,  9.22E-014,  1.83E-013,  1.59E-014,  2.62E-015,  -3.91E-014,  8.53E-015,  9.41E-014
EQ PEG  ,  ,         2445574.3,  1.40E-013,  2.03E-014,  4.94E-014,  -2.26E-014,  6.08E-015,  8.87E-014,  1.05E-013,  1.03E-014,  4.30E-014,  9.93E-014,  6.68E-015,  -1.95E-015
EQ PEG  ,  ,         2445574.4,  3.77E-013,  4.01E-014,  4.25E-014,  7.27E-014,  8.24E-015,  3.01E-014,  1.20E-013,  6.51E-015,  -4.76E-014,  1.16E-013,  7.55E-015,  -1.67E-014
EQ PEG  ,  ,         2445574.5,  2.55E-013,  3.25E-014,  5.34E-014,  -4.93E-014,  5.13E-015,  9.30E-014,  1.68E-013,  7.38E-015,  -7.29E-014,  2.25E-013,  1.30E-014,  -1.59E-014
EQ PEG  ,  ,         2445575.3,  1.34E-013,  1.99E-014,  6.79E-014,  1.17E-013,  8.54E-015,  9.90E-016,  9.65E-014,  1.18E-014,  8.49E-014,  8.11E-014,  8.24E-015,  4.62E-014
EQ PEG  ,  ,         2445575.4,  6.82E-014,  3.08E-014,  1.91E-013,  7.22E-014,  7.53E-015,  1.67E-014,  1.15E-013,  1.04E-014,  2.75E-014,  1.98E-013,  1.31E-014,  1.53E-014
EQ PEG  ,  ,         2445575.5,  2.69E-013,  3.14E-014,  6.12E-014,  7.06E-014,  7.37E-015,  2.35E-014,  1.22E-013,  1.02E-014,  1.68E-014,  5.61E-014,  6.92E-015,  3.12E-014
EQ PEG  ,  ,         2445644.8,  1.38E-013,  3.26E-014,  6.33E-014,  1.22E-013,  1.04E-014,  1.20E-014,  1.60E-013,  1.16E-014,  8.45E-015,  -1.59E-015,  5.82E-015,  5.75E-014
EQ PEG  ,  ,         2445650.8,  6.73E-014,  2.61E-014,  5.24E-014,  6.07E-014,  8.59E-015,  4.31E-014,  1.76E-013,  9.64E-015,  -4.09E-014,  2.01E-014,  4.19E-015,  1.48E-014
EQ PEG  ,  ,         2446042.0,  1.32E-013,  2.44E-014,  -3.01E-014,  -1.77E-015,  1.74E-014,  2.33E-013,  1.77E-013,  1.49E-014,  1.08E-014,  1.53E-013,  1.63E-014,  9.95E-014
EQ PEG  ,  ,         2446042.1,  -1.07E-014,  2.22E-014,  7.18E-014,  -7.85E-014,  1.26E-014,  2.11E-013,  2.21E-013,  1.46E-014,  -4.68E-014,  1.60E-013,  1.61E-014,  8.83E-014
EQ PEG  ,  ,         2446042.1,  3.47E-014,  2.57E-014,  1.13E-013,  9.73E-014,  1.11E-014,  6.20E-015,  2.59E-013,  1.76E-014,  -2.45E-014,  9.50E-014,  2.26E-014,  2.81E-013
EQ PEG  ,  ,         2448856.4,  3.39E-014,  2.20E-014,  9.42E-014,  6.90E-014,  7.94E-015,  2.04E-014,  5.23E-014,  4.19E-015,  -2.18E-014,  5.74E-014,  5.02E-015,  -8.02E-016
EQ PEG  ,  ,         2448861.3,  1.66E-013,  2.23E-014,  4.32E-014,  5.29E-014,  6.09E-015,  3.84E-014,  1.32E-013,  7.24E-015,  -1.05E-014,  6.43E-014,  4.53E-015,  6.92E-015
EQ PEG  ,  ,         2448861.4,  9.30E-014,  1.56E-014,  6.47E-014,  3.22E-014,  9.11E-015,  1.14E-013,  2.06E-013,  1.25E-014,  1.43E-014,  1.83E-013,  1.51E-014,  9.38E-014
EQ PEG  ,  ,         2448861.5,  1.13E-013,  1.67E-014,  3.84E-014,  4.77E-014,  5.16E-015,  2.93E-014,  1.00E-013,  6.21E-015,  2.01E-015,  1.11E-013,  6.16E-015,  -5.91E-015
EQ PEG  ,  ,         2448862.3,  -2.15E-014,  1.93E-014,  1.35E-013,  3.80E-014,  5.36E-015,  3.81E-014,  1.13E-013,  7.78E-015,  1.35E-014,  7.41E-014,  5.63E-015,  1.43E-014
EQ PEG  ,  ,         2448862.4,  7.22E-014,  1.23E-014,  7.02E-014,  8.41E-014,  5.68E-015,  1.01E-014,  1.59E-013,  9.36E-015,  1.07E-014,  1.19E-013,  7.49E-015,  1.81E-014
