Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
EV LAC  ,  ,         2444850.1,  2.35E-013,  3.30E-014,  4.75E-014,  3.18E-014,  1.01E-014,  8.32E-014,  5.04E-014,  2.91E-015,  -5.81E-014,  -7.20E-014,  1.17E-015,  3.91E-014
EV LAC  ,  ,         2444850.9,  8.58E-014,  2.91E-014,  1.74E-013,  -4.43E-014,  6.18E-015,  8.47E-014,  7.14E-014,  9.23E-015,  3.17E-014,  1.00E-013,  8.66E-015,  1.22E-014
EV LAC  ,  ,         2444850.9,  2.50E-013,  3.98E-014,  1.22E-013,  7.90E-016,  7.70E-015,  6.85E-014,  1.06E-013,  8.29E-015,  -1.66E-014,  2.01E-013,  8.59E-015,  -8.51E-014
EV LAC  ,  ,         2444851.0,  3.21E-013,  6.46E-014,  3.25E-013,  1.63E-013,  1.27E-014,  1.02E-015,  -1.03E-013,  3.71E-015,  9.91E-014,  -1.09E-013,  8.71E-015,  2.19E-013
EV LAC  ,  ,         2444851.1,  7.94E-013,  1.13E-013,  3.18E-013,  1.46E-013,  1.73E-014,  1.03E-013,  1.28E-013,  6.74E-015,  -7.45E-014,  1.16E-013,  4.16E-016,  -1.82E-013
EV LAC  ,  ,         2445632.1,  5.56E-014,  1.35E-014,  4.91E-014,  9.55E-014,  7.55E-015,  2.10E-014,  1.43E-013,  8.61E-015,  1.18E-015,  8.93E-014,  6.76E-015,  2.38E-014
EV LAC  ,  ,         2445632.2,  6.42E-014,  8.91E-015,  6.62E-015,  3.52E-014,  4.29E-015,  2.54E-014,  1.06E-013,  6.16E-015,  -3.46E-015,  8.58E-014,  5.56E-015,  8.94E-015
EV LAC  ,  ,         2445632.3,  8.19E-014,  8.44E-015,  -1.67E-014,  4.75E-014,  4.86E-015,  2.73E-014,  1.22E-013,  6.47E-015,  -1.20E-014,  8.95E-014,  5.00E-015,  -4.87E-015
EV LAC  ,  ,         2445634.1,  2.09E-014,  9.37E-015,  4.63E-014,  8.71E-014,  5.54E-015,  -3.57E-015,  8.41E-014,  5.25E-015,  -7.31E-016,  3.39E-014,  3.75E-015,  2.33E-014
EV LAC  ,  ,         2445634.2,  6.56E-014,  1.02E-014,  7.86E-015,  2.35E-014,  2.99E-015,  7.07E-015,  4.09E-014,  2.61E-015,  -1.33E-014,  3.82E-014,  4.62E-015,  3.26E-014
EV LAC  ,  ,         2445634.4,  1.98E-015,  6.43E-015,  1.50E-014,  3.90E-014,  4.56E-015,  1.90E-014,  5.88E-014,  4.38E-015,  3.16E-015,  5.18E-014,  3.62E-015,  -2.41E-015
EV LAC  ,  ,         2446602.0,  1.02E-014,  1.52E-014,  9.22E-014,  6.40E-014,  7.35E-015,  5.08E-014,  1.18E-013,  6.46E-015,  -1.43E-014,  8.28E-014,  4.94E-015,  -9.32E-015
EV LAC  ,  ,         2448485.3,  2.07E-013,  2.67E-014,  5.09E-014,  1.05E-013,  1.41E-014,  9.26E-014,  1.09E-014,  4.50E-015,  2.62E-014,  1.32E-013,  8.90E-015,  3.69E-015
EV LAC  ,  ,         2448485.4,  1.85E-013,  2.64E-014,  6.81E-014,  3.92E-014,  1.09E-014,  1.21E-013,  1.04E-013,  7.08E-015,  -1.57E-014,  1.03E-013,  6.70E-015,  -7.67E-015
EV LAC  ,  ,         2448485.5,  1.64E-013,  2.53E-014,  5.71E-014,  3.72E-014,  8.37E-015,  5.95E-014,  1.09E-013,  7.05E-015,  -3.43E-014,  8.42E-014,  6.95E-015,  9.57E-015
EV LAC  ,  ,         2449240.4,  8.04E-014,  1.55E-014,  2.53E-015,  2.77E-014,  7.05E-015,  5.76E-014,  6.45E-014,  4.44E-015,  -1.44E-014,  7.82E-014,  4.33E-015,  -2.43E-014
EV LAC  ,  ,         2449241.0,  2.42E-013,  2.94E-014,  7.23E-014,  6.25E-014,  8.90E-015,  7.43E-014,  8.58E-014,  7.02E-015,  1.54E-014,  9.96E-014,  4.47E-015,  -4.05E-014
EV LAC  ,  ,         2449241.2,  1.92E-013,  2.77E-014,  7.24E-014,  3.32E-014,  5.72E-015,  4.30E-014,  4.09E-014,  4.74E-015,  1.75E-014,  6.69E-014,  5.25E-015,  9.00E-015
EV LAC  ,  ,         2449242.0,  1.66E-013,  2.78E-014,  1.49E-013,  8.42E-014,  1.20E-014,  1.12E-013,  1.08E-013,  9.35E-015,  2.96E-014,  1.77E-013,  1.20E-014,  2.07E-014
EV LAC  ,  ,         2449242.2,  3.58E-014,  1.14E-014,  5.36E-014,  5.51E-014,  6.24E-015,  4.05E-014,  1.42E-013,  8.60E-015,  2.13E-015,  1.32E-013,  7.53E-015,  -1.68E-015
