Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
H 152751,  ,         2444466.5,  1.20E-013,  1.97E-014,  1.65E-014,  4.53E-014,  3.63E-015,  -3.01E-014,  4.77E-014,  3.83E-015,  -1.64E-014,  7.04E-014,  3.25E-015,  -4.09E-014
WOLF 630,  ,         2444766.4,  1.07E-013,  2.04E-014,  7.06E-014,  4.00E-014,  5.91E-015,  4.18E-014,  1.96E-013,  1.01E-014,  -2.39E-014,  1.06E-013,  6.13E-015,  -6.39E-015
WOLF 630,  ,         2444768.3,  1.14E-013,  1.94E-014,  7.81E-014,  9.65E-014,  8.70E-015,  4.59E-014,  2.21E-013,  1.56E-014,  6.19E-014,  2.27E-013,  1.52E-014,  5.43E-014
HD152751,  ,         2447627.6,  2.48E-013,  3.85E-014,  1.64E-013,  7.52E-014,  1.03E-014,  7.56E-014,  2.10E-013,  1.47E-014,  2.04E-014,  7.92E-014,  5.16E-015,  -1.47E-014
HD152751,  ,         2447627.7,  3.17E-013,  3.49E-014,  6.45E-014,  -5.30E-014,  9.07E-015,  1.80E-013,  1.70E-013,  1.51E-014,  6.61E-014,  1.79E-013,  8.22E-015,  -5.12E-014
HD152751,  ,         2447627.8,  1.04E-013,  1.54E-014,  2.53E-014,  8.35E-014,  7.56E-015,  2.54E-014,  1.84E-013,  1.12E-014,  7.31E-015,  6.78E-014,  6.26E-015,  3.19E-014
HD157751,  ,         2447628.6,  3.30E-013,  3.82E-014,  8.02E-014,  7.56E-014,  9.09E-015,  5.78E-014,  1.35E-013,  1.24E-014,  6.09E-014,  1.24E-013,  9.67E-015,  3.53E-014
HD 152751,  ,         2447628.7,  1.10E-013,  2.23E-014,  1.27E-013,  9.95E-014,  8.30E-015,  1.66E-014,  1.47E-013,  1.13E-014,  3.05E-014,  1.13E-013,  5.44E-015,  -3.95E-014
HD152751,  ,         2447628.8,  1.13E-013,  1.76E-014,  2.77E-014,  4.23E-014,  8.08E-015,  7.85E-014,  1.83E-013,  1.10E-014,  4.91E-015,  4.80E-014,  5.11E-015,  3.08E-014
SAO141439,  ,         2448314.9,  1.85E-013,  2.76E-014,  4.31E-014,  1.56E-013,  1.35E-014,  6.00E-015,  1.31E-013,  1.20E-014,  4.48E-014,  1.33E-013,  1.12E-014,  4.20E-014
GL 644  ,  ,         2448315.0,  2.55E-013,  3.35E-014,  4.52E-014,  -3.86E-015,  5.62E-015,  1.45E-014,  1.45E-013,  1.29E-014,  3.13E-014,  1.42E-013,  8.00E-015,  -4.28E-014
GL644   ,  ,         2448315.1,  2.14E-013,  3.52E-014,  1.12E-013,  6.18E-014,  1.09E-014,  6.01E-014,  2.79E-014,  7.93E-015,  5.62E-014,  2.16E-013,  1.20E-014,  -3.62E-014
GL 644  ,  ,         2448315.1,  1.53E-013,  3.30E-014,  1.64E-013,  9.54E-014,  1.13E-014,  4.43E-014,  6.03E-014,  9.15E-015,  5.49E-014,  1.41E-013,  1.35E-014,  7.42E-014
