Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
V645 CEN,  ,         2443922.2,  2.32E-013,  3.28E-014,  9.69E-014,  1.27E-013,  1.31E-014,  5.64E-014,  1.59E-014,  3.88E-015,  2.67E-014,  9.14E-014,  9.89E-015,  7.02E-014
PROX CEN,  ,         2443939.1,  7.94E-014,  2.88E-014,  1.10E-013,  8.10E-014,  1.06E-014,  -4.26E-015,  1.71E-013,  1.72E-014,  5.51E-014,  1.71E-013,  1.00E-014,  -6.08E-014
PROX CEN,  ,         2443939.2,  9.13E-014,  2.84E-014,  8.53E-014,  -5.61E-014,  7.36E-015,  6.62E-014,  1.61E-014,  1.19E-014,  1.05E-013,  1.86E-013,  1.39E-014,  3.86E-015
PROX CEN,  ,         2443939.2,  2.01E-013,  3.47E-014,  8.37E-014,  6.26E-014,  1.12E-014,  2.06E-014,  9.83E-014,  7.90E-015,  -4.88E-014,  -1.12E-014,  1.33E-016,  -7.44E-014
PROX CEN,  ,         2443940.0,  2.91E-013,  3.75E-014,  -1.23E-014,  5.01E-014,  9.54E-015,  -2.35E-014,  9.28E-014,  9.00E-015,  -5.33E-014,  9.94E-014,  1.78E-014,  1.37E-013
PROX CEN,  ,         2443940.1,  1.05E-013,  2.10E-014,  1.01E-013,  9.21E-014,  7.78E-015,  -2.84E-015,  8.10E-014,  4.37E-015,  -4.59E-014,  1.94E-013,  7.64E-015,  -8.43E-014
PROX CEN,  ,         2444472.0,  8.46E-014,  1.76E-014,  3.73E-014,  -3.38E-014,  1.70E-015,  2.36E-014,  -3.48E-015,  2.31E-015,  1.42E-014,  2.27E-014,  4.13E-015,  2.97E-014
PROX CEN,  ,         2444472.0,  1.03E-013,  1.87E-014,  5.97E-014,  1.15E-013,  1.12E-014,  6.04E-014,  2.48E-013,  1.44E-014,  1.38E-015,  2.02E-013,  1.53E-014,  7.32E-014
PROX CEN,  ,         2444472.1,  6.36E-014,  1.48E-014,  4.53E-014,  1.60E-014,  3.50E-015,  8.82E-015,  5.92E-014,  4.47E-015,  -6.74E-015,  -1.66E-014,  2.13E-015,  2.76E-014
PROX CEN,  ,         2444472.2,  1.14E-013,  2.19E-014,  4.79E-015,  -4.67E-014,  3.25E-015,  2.97E-014,  1.01E-013,  7.23E-015,  -2.41E-014,  -4.74E-014,  8.67E-016,  9.32E-015
PROX CEN,  ,         2445788.0,  1.27E-013,  2.12E-014,  7.64E-014,  4.24E-014,  6.28E-015,  4.57E-014,  3.49E-014,  3.75E-015,  9.47E-015,  5.79E-015,  2.08E-015,  1.00E-014
GL 551  ,  ,         2449859.4,  4.20E-014,  1.70E-014,  4.77E-014,  7.21E-014,  6.39E-015,  6.46E-016,  1.21E-015,  4.49E-015,  4.56E-014,  1.34E-014,  3.47E-015,  2.05E-014
GL 551  ,  ,         2449887.1,  5.09E-014,  1.49E-014,  5.70E-014,  1.21E-014,  4.83E-015,  4.42E-014,  3.01E-014,  3.83E-015,  1.09E-014,  6.11E-014,  3.26E-015,  -2.28E-014
GL 551  ,  ,         2449928.2,  8.41E-014,  1.92E-014,  4.16E-015,  8.20E-015,  7.65E-015,  6.81E-014,  7.01E-014,  4.38E-015,  -4.45E-014,  -1.30E-014,  4.64E-015,  5.53E-014
