Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
GL 182  ,  ,         2444526.2,  2.07E-013,  3.16E-014,  6.67E-014,  -1.79E-014,  3.56E-015,  3.59E-014,  4.36E-014,  3.57E-015,  -1.18E-014,  8.27E-014,  4.99E-015,  -1.53E-014
GL 182  ,  ,         2444526.3,  1.23E-013,  1.75E-014,  4.74E-014,  8.91E-015,  2.51E-015,  1.63E-014,  6.18E-014,  3.45E-015,  -1.25E-014,  5.80E-015,  1.52E-015,  8.49E-015
GL182   ,  ,         2445611.1,  1.65E-013,  2.76E-014,  1.09E-013,  4.92E-014,  7.38E-015,  4.12E-014,  1.31E-013,  1.15E-014,  1.11E-014,  1.89E-014,  3.50E-015,  1.40E-014
GL182   ,  ,         2445611.2,  3.10E-013,  4.06E-014,  1.20E-013,  5.40E-014,  6.42E-015,  2.34E-014,  4.38E-014,  2.86E-015,  -3.04E-014,  -7.07E-015,  2.40E-015,  2.06E-014
GL182   ,  ,         2445612.2,  1.57E-013,  3.07E-014,  1.72E-013,  6.16E-014,  6.09E-015,  1.33E-014,  1.01E-013,  7.12E-015,  -1.24E-015,  1.30E-013,  7.44E-015,  -1.45E-014
GL182   ,  ,         2445612.3,  2.92E-013,  4.26E-014,  1.63E-013,  -1.62E-015,  5.01E-015,  5.47E-014,  4.59E-014,  5.82E-015,  2.83E-014,  1.22E-013,  8.87E-015,  2.27E-014
GL182   ,  ,         2445613.0,  1.68E-013,  2.90E-014,  1.34E-013,  -5.26E-015,  1.41E-014,  2.07E-013,  2.12E-013,  2.25E-014,  1.33E-013,  2.47E-013,  3.09E-014,  2.80E-013
GL 182  ,  ,         2447454.5,  1.92E-013,  2.39E-014,  4.67E-014,  4.03E-014,  3.42E-015,  -2.21E-014,  6.49E-014,  8.25E-015,  5.86E-014,  -4.62E-014,  3.94E-015,  9.03E-014
G1 182  ,  ,         2447454.6,  2.12E-014,  1.27E-014,  5.95E-014,  -6.62E-016,  2.22E-015,  1.94E-014,  1.38E-014,  3.00E-015,  2.18E-014,  -3.70E-014,  4.58E-016,  2.68E-014
GL 182  ,  ,         2448678.4,  8.82E-014,  1.63E-014,  4.77E-014,  1.86E-014,  5.63E-015,  4.95E-014,  1.36E-014,  2.99E-015,  9.83E-015,  -9.07E-015,  2.47E-015,  2.81E-014
