Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
YY GEM  ,  ,         2445303.9,  2.55E-013,  3.16E-014,  1.93E-014,  1.25E-013,  1.01E-014,  -4.60E-014,  1.39E-013,  2.93E-014,  3.31E-013,  1.61E-013,  4.00E-014,  5.45E-013
YY GEM  ,  ,         2445303.9,  1.36E-013,  2.01E-014,  9.64E-014,  5.13E-014,  7.17E-015,  4.68E-014,  2.41E-013,  2.80E-014,  2.75E-013,  1.53E-013,  3.71E-014,  5.52E-013
YY GEM  ,  ,         2445305.6,  2.66E-013,  3.63E-014,  5.21E-014,  -9.73E-014,  3.85E-015,  5.37E-014,  1.79E-013,  3.00E-014,  3.07E-013,  -1.67E-014,  2.90E-014,  5.01E-013
YY GEM  ,  ,         2445305.7,  2.76E-013,  4.50E-014,  1.49E-013,  1.15E-013,  6.08E-015,  -1.32E-013,  7.50E-014,  2.53E-014,  3.07E-013,  -1.22E-014,  2.65E-014,  4.32E-013
YY GEM  ,  ,         2445305.8,  1.37E-013,  3.94E-014,  8.99E-014,  -8.48E-014,  1.06E-014,  1.16E-013,  3.25E-013,  2.93E-014,  9.34E-014,  4.35E-013,  3.55E-014,  1.32E-013
YY GEM  ,  ,         2445305.9,  -1.36E-014,  2.90E-014,  2.89E-013,  -9.31E-014,  2.71E-014,  5.45E-013,  3.34E-013,  5.74E-014,  7.23E-013,  3.42E-013,  8.00E-014,  1.18E-012
YY GEM  ,  ,         2445306.8,  -1.97E-013,  4.59E-014,  3.85E-013,  -2.32E-013,  1.35E-015,  6.55E-014,  2.90E-013,  3.22E-014,  1.78E-013,  2.29E-014,  4.53E-014,  7.27E-013
YY GEM  ,  ,         2445306.8,  9.82E-014,  3.57E-014,  2.15E-013,  -1.18E-013,  4.57E-015,  8.79E-014,  3.38E-013,  3.65E-014,  2.76E-013,  4.60E-013,  4.18E-014,  2.75E-013
YY GEM  ,  ,         2445679.3,  2.02E-013,  2.63E-014,  1.32E-013,  2.79E-014,  7.56E-015,  7.72E-014,  1.24E-013,  3.97E-014,  6.18E-013,  -1.04E-014,  3.32E-014,  6.41E-013
YY GEM  ,  ,         2445679.4,  1.57E-013,  2.57E-014,  1.78E-013,  3.71E-014,  7.01E-015,  5.51E-014,  1.17E-013,  2.53E-014,  3.41E-013,  1.50E-013,  3.39E-014,  4.92E-013
YY GEM  ,  ,         2445679.5,  1.36E-013,  2.24E-014,  1.28E-013,  -1.02E-014,  5.65E-015,  7.67E-014,  1.69E-013,  2.88E-014,  3.58E-013,  1.81E-013,  3.50E-014,  4.82E-013
YY GEM  ,  ,         2445679.6,  1.89E-013,  1.90E-014,  3.90E-014,  1.37E-014,  7.40E-015,  8.85E-014,  1.80E-013,  3.05E-014,  3.83E-013,  1.66E-013,  3.29E-014,  4.56E-013
YY GEM  ,  ,         2445679.7,  1.75E-013,  2.71E-014,  1.64E-013,  1.10E-013,  8.72E-015,  1.09E-014,  2.24E-013,  2.83E-014,  2.93E-013,  1.72E-013,  3.54E-014,  4.97E-013
YY GEM  ,  ,         2445679.8,  6.05E-014,  1.74E-014,  1.11E-013,  1.57E-013,  1.10E-014,  5.65E-015,  2.45E-013,  3.11E-014,  3.18E-013,  1.84E-013,  3.48E-014,  4.65E-013
YY GEM  ,  ,         2446017.7,  4.50E-014,  1.93E-014,  1.53E-013,  6.59E-014,  1.17E-014,  1.12E-013,  1.60E-013,  3.22E-014,  4.30E-013,  2.08E-013,  3.74E-014,  4.96E-013
YY GEM  ,  ,         2446017.8,  -1.65E-013,  4.31E-014,  2.58E-013,  -4.26E-013,  6.35E-015,  2.76E-013,  1.05E-013,  3.88E-014,  4.23E-013,  -8.89E-015,  3.98E-014,  5.93E-013
YY GEM  ,  ,         2446017.9,  1.73E-014,  3.05E-014,  1.16E-013,  9.15E-014,  1.74E-014,  8.53E-014,  -3.19E-013,  4.36E-014,  1.03E-012,  -1.05E-013,  3.35E-014,  6.43E-013
YY GEM  ,  ,         2446018.7,  7.60E-014,  1.52E-014,  7.62E-014,  7.63E-014,  9.43E-015,  6.26E-014,  2.46E-013,  3.24E-014,  3.48E-013,  9.24E-014,  3.84E-014,  6.35E-013
YY GEM  ,  ,         2446018.8,  -3.10E-015,  1.69E-014,  7.51E-014,  6.89E-014,  9.83E-015,  3.37E-014,  2.07E-013,  2.17E-014,  1.36E-013,  8.36E-014,  1.96E-014,  2.33E-013
YY GEM  ,  ,         2446018.9,  1.37E-013,  3.51E-014,  2.05E-013,  4.81E-015,  1.67E-014,  2.07E-013,  3.92E-013,  4.21E-014,  2.79E-013,  5.50E-013,  5.43E-014,  4.36E-013
YY GEM  ,  ,         2446019.1,  1.29E-013,  2.09E-014,  1.12E-013,  1.80E-013,  1.56E-014,  8.10E-014,  2.95E-013,  3.68E-014,  3.88E-013,  2.71E-013,  4.35E-014,  5.60E-013
YY GEM  ,  ,         2446019.2,  8.01E-014,  1.67E-014,  9.39E-014,  4.59E-014,  9.29E-015,  9.09E-014,  1.83E-013,  3.15E-014,  3.99E-013,  9.75E-014,  3.42E-014,  5.51E-013
YY GEM  ,  ,         2446019.3,  1.13E-013,  1.72E-014,  7.59E-014,  8.51E-014,  9.65E-015,  6.05E-014,  2.71E-013,  3.25E-014,  3.30E-013,  3.02E-013,  3.93E-014,  4.47E-013
YY GEM  ,  ,         2446019.5,  1.34E-013,  1.97E-014,  7.17E-014,  3.86E-014,  7.70E-015,  6.28E-014,  2.13E-013,  2.91E-014,  3.21E-013,  1.28E-013,  3.47E-014,  5.29E-013
YY GEM  ,  ,         2446019.6,  1.29E-013,  1.48E-014,  3.26E-014,  7.88E-014,  1.01E-014,  8.13E-014,  2.04E-013,  3.03E-014,  3.61E-013,  8.60E-014,  3.61E-014,  6.03E-013
YY GEM  ,  ,         2446019.7,  1.48E-013,  1.98E-014,  8.25E-014,  1.03E-013,  1.02E-014,  5.10E-014,  2.56E-013,  3.30E-014,  3.56E-013,  1.57E-013,  3.63E-014,  5.31E-013
YY GEM  ,  ,         2446019.8,  -8.99E-015,  2.66E-014,  2.16E-013,  -3.03E-014,  1.01E-014,  1.21E-013,  9.89E-014,  3.31E-014,  4.53E-013,  4.24E-014,  3.09E-014,  4.91E-013
YY GEM  ,  ,         2446019.9,  1.16E-013,  1.94E-014,  4.96E-014,  5.63E-015,  7.00E-015,  6.28E-014,  1.65E-013,  2.86E-014,  3.38E-013,  2.32E-013,  3.86E-014,  4.83E-013
YY GEM  ,  ,         2446481.0,  1.60E-013,  2.14E-014,  2.93E-014,  9.61E-014,  1.22E-014,  7.60E-014,  2.47E-013,  3.29E-014,  3.50E-013,  1.43E-013,  3.55E-014,  5.21E-013
YY GEM  ,  ,         2446481.1,  1.63E-013,  2.22E-014,  7.20E-014,  3.49E-014,  1.12E-014,  1.25E-013,  2.76E-013,  3.27E-014,  3.18E-013,  3.00E-013,  4.56E-014,  5.65E-013
YY GEM  ,  ,         2446481.2,  2.48E-013,  2.59E-014,  3.77E-014,  3.79E-014,  1.08E-014,  1.11E-013,  1.97E-013,  3.17E-014,  3.77E-013,  2.97E-013,  3.56E-014,  3.68E-013
YY GEM  ,  ,         2446481.2,  1.56E-013,  2.46E-014,  8.02E-014,  4.82E-014,  1.05E-014,  8.44E-014,  1.94E-013,  3.56E-014,  4.48E-013,  2.43E-013,  4.29E-014,  5.56E-013
YY GEM  ,  ,         2446481.3,  1.45E-013,  2.42E-014,  2.57E-014,  7.72E-014,  1.26E-014,  7.90E-014,  1.95E-013,  3.38E-014,  3.68E-013,  2.23E-014,  3.59E-014,  6.22E-013
YY GEM  ,  ,         2446481.4,  2.48E-013,  2.47E-014,  -2.09E-014,  1.61E-013,  1.85E-014,  1.25E-013,  2.26E-013,  3.30E-014,  3.57E-013,  2.74E-013,  4.40E-014,  5.45E-013
YY GEM  ,  ,         2446481.5,  1.60E-013,  2.97E-014,  4.94E-014,  -6.21E-014,  1.10E-014,  1.71E-013,  2.08E-013,  3.67E-014,  4.04E-013,  8.70E-014,  3.85E-014,  6.00E-013
YY GEM  ,  ,         2446481.5,  3.73E-014,  2.98E-014,  1.14E-013,  -1.58E-013,  1.10E-014,  2.25E-013,  1.85E-013,  3.74E-014,  4.10E-013,  1.34E-013,  5.08E-014,  7.60E-013
YY GEM  ,  ,         2446483.0,  5.11E-014,  1.78E-014,  6.75E-014,  1.36E-013,  1.07E-014,  -1.32E-015,  1.52E-013,  2.81E-014,  3.18E-013,  2.77E-013,  3.41E-014,  3.39E-013
YY GEM  ,  ,         2446483.1,  1.75E-013,  2.35E-014,  8.02E-014,  9.54E-015,  9.22E-015,  1.11E-013,  2.05E-013,  3.24E-014,  3.82E-013,  1.99E-013,  3.84E-014,  5.20E-013
YY GEM  ,  ,         2446483.1,  1.03E-013,  2.69E-014,  1.72E-013,  9.20E-014,  1.25E-014,  8.24E-014,  4.25E-013,  5.52E-014,  5.99E-013,  1.02E-013,  3.88E-014,  6.19E-013
YY GEM  ,  ,         2446483.2,  1.21E-013,  3.41E-014,  1.16E-013,  2.79E-014,  1.47E-014,  1.62E-013,  1.17E-013,  3.12E-014,  3.88E-013,  7.56E-014,  3.57E-014,  5.62E-013
YY GEM  ,  ,         2446483.2,  1.77E-013,  2.43E-014,  3.41E-014,  8.04E-014,  9.47E-015,  3.41E-014,  1.68E-013,  2.84E-014,  3.26E-013,  1.75E-013,  3.20E-014,  4.08E-013
YY GEM  ,  ,         2447225.7,  -2.64E-014,  3.39E-014,  1.30E-013,  1.45E-013,  1.42E-014,  4.89E-014,  2.13E-013,  2.07E-014,  1.21E-013,  1.57E-013,  2.02E-014,  1.88E-013
YY GEM  ,  ,         2447225.8,  2.03E-014,  3.69E-014,  5.50E-014,  4.06E-014,  1.37E-014,  1.42E-013,  3.36E-013,  2.26E-014,  4.27E-014,  1.85E-013,  1.69E-014,  9.52E-014
YY GEM  ,  ,         2447225.8,  1.38E-013,  2.52E-014,  6.12E-014,  4.05E-014,  1.31E-014,  1.50E-013,  1.16E-013,  2.91E-014,  4.03E-013,  1.67E-013,  3.71E-014,  5.29E-013
