Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
YZ CMI  ,  ,         2443922.6,  2.40E-014,  7.66E-015,  3.14E-014,  5.17E-014,  4.53E-015,  8.49E-015,  7.03E-014,  4.71E-015,  -3.46E-015,  4.61E-014,  4.06E-015,  1.54E-014
YZ CMI  ,  ,         2444160.4,  2.06E-013,  3.17E-014,  5.80E-014,  1.04E-013,  9.13E-015,  -1.88E-014,  1.55E-013,  1.28E-014,  1.62E-014,  5.23E-014,  4.46E-015,  -2.47E-014
YZ CMI  ,  ,         2444160.5,  1.40E-013,  2.05E-014,  4.00E-014,  4.03E-014,  5.24E-015,  1.02E-014,  1.50E-013,  8.85E-015,  -2.10E-014,  8.63E-014,  6.91E-015,  1.58E-014
YZ CMI  ,  ,         2444160.6,  1.30E-013,  2.34E-014,  1.06E-013,  7.42E-014,  7.96E-015,  3.21E-014,  7.64E-014,  7.00E-015,  1.56E-014,  1.16E-013,  8.25E-015,  1.27E-014
YZ CMI  ,  ,         2444160.7,  6.94E-014,  1.32E-014,  6.22E-015,  3.43E-014,  2.20E-015,  -3.88E-014,  1.17E-013,  6.29E-015,  -3.50E-014,  6.61E-014,  5.52E-015,  9.90E-015
YZ CMI  ,  ,         2444214.9,  5.55E-014,  9.80E-015,  3.64E-014,  -1.42E-015,  1.87E-015,  3.14E-015,  1.31E-015,  2.93E-015,  2.85E-014,  -2.68E-014,  1.38E-015,  2.99E-014
YZ CMI  ,  ,         2445368.7,  2.32E-013,  3.63E-014,  9.34E-014,  9.18E-014,  1.27E-014,  7.32E-014,  2.41E-013,  2.37E-014,  1.31E-013,  1.89E-013,  2.62E-014,  2.58E-013
YZ CMI  ,  ,         2445368.8,  1.29E-013,  3.25E-014,  1.19E-013,  2.81E-014,  6.33E-015,  1.04E-014,  9.66E-014,  1.03E-014,  2.96E-014,  4.61E-014,  5.17E-015,  2.12E-015
YZ CMI  ,  ,         2445371.6,  7.13E-013,  2.32E-013,  5.17E-013,  -4.82E-013,  1.68E-013,  2.88E-012,  4.55E-013,  1.18E-013,  8.65E-013,  -2.06E-012,  6.19E-014,  2.22E-012
YZ CMI  ,  ,         2445434.4,  1.22E-013,  3.30E-014,  -5.37E-014,  -4.96E-015,  7.16E-015,  -2.03E-014,  -6.83E-014,  6.50E-015,  5.33E-014,  -1.29E-013,  3.31E-015,  6.81E-014
YZ CMI  ,  ,         2445477.3,  -1.14E-014,  1.85E-014,  4.37E-014,  5.17E-014,  4.93E-015,  -4.09E-014,  2.67E-014,  8.41E-015,  6.37E-014,  5.53E-014,  9.89E-015,  7.51E-014
YZ CMI  ,  ,         2445523.8,  1.26E-013,  3.81E-014,  1.47E-013,  -4.12E-014,  1.24E-014,  1.15E-013,  2.21E-013,  1.93E-014,  1.35E-014,  1.15E-013,  2.17E-014,  1.88E-013
YZ CMI  ,  ,         2445633.8,  2.72E-013,  6.50E-014,  -5.09E-014,  -2.28E-013,  1.65E-014,  1.63E-013,  -3.29E-014,  2.15E-014,  1.06E-013,  3.70E-013,  4.25E-014,  1.48E-013
YZ CMI  ,  ,         2445633.9,  1.45E-013,  1.08E-013,  8.58E-014,  5.67E-013,  5.56E-014,  -1.71E-013,  -8.34E-015,  3.98E-014,  1.74E-013,  -1.20E-013,  8.23E-014,  1.21E-012
YZ CMI  ,  ,         2445633.9,  -5.56E-014,  8.07E-014,  2.71E-013,  -4.25E-013,  1.61E-014,  2.39E-013,  2.41E-013,  2.26E-014,  -2.33E-013,  -5.48E-014,  3.65E-015,  -3.55E-013
YZ CMI  ,  ,         2445973.8,  9.62E-014,  3.12E-014,  6.36E-014,  3.58E-015,  1.02E-014,  4.80E-014,  1.62E-013,  1.60E-014,  4.41E-014,  6.67E-014,  1.26E-014,  9.40E-014
YZ CMI  ,  ,         2445973.9,  -1.90E-013,  5.52E-014,  2.87E-013,  -3.10E-013,  1.45E-014,  2.66E-013,  -1.59E-013,  6.94E-015,  9.15E-015,  2.30E-013,  1.86E-014,  -1.17E-013
YZ CMI  ,  ,         2445973.9,  1.31E-012,  1.61E-013,  -1.19E-012,  -4.92E-013,  6.41E-014,  7.65E-013,  -9.06E-013,  4.88E-014,  9.84E-013,  4.92E-013,  4.34E-014,  -4.02E-013
YZ CMI  ,  ,         2445974.0,  -2.69E-012,  3.56E-013,  9.18E-013,  -1.28E-012,  3.60E-014,  4.28E-013,  4.07E-012,  1.64E-013,  -2.63E-012,  1.68E-012,  3.47E-014,  -2.29E-012
YZ CMI  ,  ,         2445974.0,  9.36E-013,  1.56E-013,  -1.06E-012,  -1.02E-012,  5.57E-014,  9.08E-013,  -1.36E-012,  2.87E-014,  7.60E-013,  1.09E-012,  4.18E-014,  -1.24E-012
YZ CMI  ,  ,         2445974.1,  2.64E-013,  3.87E-014,  -3.12E-014,  3.71E-014,  1.23E-014,  1.68E-014,  1.99E-013,  1.62E-014,  -2.46E-014,  -1.44E-013,  -4.34E-015,  -7.01E-014
YZ CMI  ,  ,         2446040.9,  6.99E-014,  2.49E-014,  6.85E-014,  -2.55E-014,  1.22E-014,  1.50E-013,  1.49E-013,  1.34E-014,  2.25E-014,  1.56E-013,  1.10E-014,  -9.39E-015
YZ CMI  ,  ,         2446041.0,  9.39E-014,  2.49E-014,  4.36E-014,  -2.07E-014,  8.41E-015,  7.11E-014,  8.32E-014,  1.11E-014,  5.06E-014,  -6.49E-014,  8.26E-015,  1.58E-013
